scenario,level,control_mode,image_ablation,image_ablation_target,control_state_ablation,episode,seed,outcome,success,collision,timeout,steps,episode_return,guard_steps,guard_step_fraction,retry_steps,latch_steps,hover_steps,near_limited_steps,fixture_clearance_steps,fixture_clearance_realign_steps,fixture_clearance_triggers,preinsert_recenter_steps,preinsert_recenter_triggers,preinsert_recenter_releases,preinsert_recenter_blocked_steps,approach_recenter_steps,approach_recenter_triggers,approach_recenter_releases,approach_recenter_blocked_steps,approach_adapter_steps,approach_adapter_step_fraction,final_insert_adapter_steps,final_insert_adapter_step_fraction,final_insert_adapter_lift_pulse_steps,final_insert_macro_recovery_steps,final_insert_macro_recovery_triggers,visual_yaw_align_steps,visual_yaw_align_step_fraction,visual_yaw_align_blocked_steps,early_approach_assist_steps,early_approach_assist_triggers,early_approach_assist_releases,early_approach_assist_blocked_steps,stateful_recovery_steps,stateful_recovery_triggers,stateful_recovery_releases,stateful_recovery_exhausted_steps,final_servo_steps,final_servo_triggers,final_servo_rearms,final_servo_recovery_triggers,final_servo_descent_steps,final_servo_exhausted_steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,near_xy_steps,low_z_steps,low_z_misaligned_steps,insert_band_steps,insert_band_misaligned_steps,joint_damping_multiplier,actuator_kp_multiplier,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,geometry_profile,geometry_name,peg_shape,hole_shape,hole_half_size,peg_radius,hole_clearance,success_shape_yaw_required,success_shape_yaw_ok,success_shape_yaw_error_deg,success_shape_yaw_tolerance_deg,shape_yaw_clearance,final_peg_tilt_angle_deg,final_shape_yaw_error_deg,final_square_peg_yaw_error_deg,final_square_peg_topdown_clearance_margin,final_square_peg_tilted_clearance_margin
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,0,911500,success,True,False,False,332,577.2803691545382,332,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0.1716867469879518,0,0.0,0,0,0,233,0.7018072289156626,175,26,1,0,0,0,0,0,0,248,1,0,1,42,0,0.0013156855683930044,0.009220201047626442,0.00018149674967530785,0.009220201047626442,95,21,0,8,0,1.0,3.0,0.9258586178041739,0.0006196446264463849,3,0.5029404152709558,rectangular_key,rectangular_key,rectangular_key,rectangular_key,0.013000000000000001,0.012,0.0010000000000000009,True,True,2.7071427508418537,10.0,0.001,0.060804057371065534,2.7071427508418537,2.707142750841861,-0.006046117157600343,-0.006076945408996427
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,1,911501,success,True,False,False,432,602.0231082918829,432,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0.24537037037037038,0,0.0,0,0,0,289,0.6689814814814815,236,69,1,0,0,0,0,0,0,299,1,0,1,36,0,0.002132186342926279,0.00855678981062069,0.00033789927776147415,0.00855678981062069,83,22,0,9,0,1.0,3.0,0.7777507425986648,0.0006883190821122697,4,0.5011023539819269,rectangular_key,rectangular_key,rectangular_key,rectangular_key,0.013000000000000001,0.012,0.0010000000000000009,True,True,5.049703438687999,10.0,0.001,0.09002483588304003,5.049703438687999,5.049703438688006,-0.00648441482576817,-0.00653565752804126
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,2,911502,success,True,False,False,374,516.1449158536249,374,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.12834224598930483,0,0.0,0,0,0,299,0.7994652406417112,233,30,1,0,0,0,0,0,0,305,1,0,1,34,0,0.001745003909951127,0.009600073194960035,0.0004249436811396979,0.009600073194960035,73,21,0,7,0,1.0,3.0,0.791645317893946,0.0007050391248847934,4,0.4278477939192743,rectangular_key,rectangular_key,rectangular_key,rectangular_key,0.013000000000000001,0.012,0.0010000000000000009,True,True,0.45369221160862594,10.0,0.001,0.044279833960803046,0.45369221160862594,0.45369221160863304,-0.00559443984497442,-0.00559607004489205
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,3,911503,success,True,False,False,351,568.2773324679852,351,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.21367521367521367,0,0.0,0,0,0,252,0.717948717948718,186,50,1,0,0,0,0,0,0,253,1,0,1,38,0,0.0012319657430014353,0.009235235979462297,0.00044181621837130453,0.009235235979462297,85,21,0,7,0,1.0,3.0,0.964414972393483,0.0002750803946142285,3,0.5453147320170657,rectangular_key,rectangular_key,rectangular_key,rectangular_key,0.013000000000000001,0.012,0.0010000000000000009,True,True,2.8870501465661107,10.0,0.001,0.049230081025315925,2.8870501465661107,2.8870501465661036,-0.006080923093851307,-0.006094357323264778
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,4,911504,success,True,False,False,336,530.1536726517626,336,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.19642857142857142,0,0.0,0,0,0,236,0.7023809523809523,233,35,1,0,0,0,0,0,0,240,1,0,1,48,0,0.003993075276251257,0.00937303896529662,0.0005175943087166453,0.00937303896529662,90,37,0,13,0,1.0,3.0,0.9685114921671203,0.0007962347545736951,4,0.5161238733489943,rectangular_key,rectangular_key,rectangular_key,rectangular_key,0.013000000000000001,0.012,0.0010000000000000009,True,True,4.535892990897452,10.0,0.001,0.03525195684240737,4.535892990897452,4.535892990897445,-0.006391061829625021,-0.0063995128489792615
