scenario,seed,configuration,domain_randomization_level,success,collision,steps,guard_active_rows,final_dist_xy,final_dist_z,episode_return,demo,trajectory
full_light_geometry,90000,no_guard,full_light_geometry,True,False,12,0,0.0019257193116985305,0.005511455941334953,146.52000273950517,demos/guarded_policy_full_light_no_guard.gif,demos/guarded_policy_full_light_no_guard_trajectory.csv
full_light_geometry,90000,guarded_geometry,full_light_geometry,True,False,11,11,0.0038573581715840386,0.004629630373820026,136.02739054482447,demos/guarded_policy_full_light_guarded.gif,demos/guarded_policy_full_light_guarded_trajectory.csv
hard_bucket,90005,no_guard,full_light_geometry,False,True,11,0,0.02048249266963284,0.026248416491256643,-294.8250812109588,demos/guarded_policy_hard_bucket_no_guard.gif,demos/guarded_policy_hard_bucket_no_guard_trajectory.csv
hard_bucket,90005,guarded_geometry,full_light_geometry,True,False,20,20,0.004753483306998741,0.007899510423587275,133.57020018608725,demos/guarded_policy_hard_bucket_guarded.gif,demos/guarded_policy_hard_bucket_guarded_trajectory.csv
