tier,scenario,guard_mode,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,mean_hole_half_size,mean_peg_radius,mean_clearance,min_clearance,max_clearance,tier_min_clearance,tier_max_clearance,mean_clearance_mm,tier_min_clearance_mm,tier_max_clearance_mm,hole_half_size_range,peg_radius_range,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
wide_current,full_light_geometry,no_guard,30,0.5333333333333333,0.4666666666666667,0.0,-52.08017876080591,18.433333333333334,0.0,0.0,0.0,False,0.019318689049992586,0.026699648119488047,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_light_geometry,guard_blend_075,30,0.6,0.4,0.0,-23.120510064474864,28.433333333333334,26.566666666666666,0.9343493552168816,0.9333333333333333,True,0.017016603222808385,0.02660264341405312,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_light_geometry,guard_blend_100,30,0.5333333333333333,0.43333333333333335,0.03333333333333333,-42.88827293564908,30.233333333333334,28.366666666666667,0.938257993384785,0.9333333333333333,True,0.01850666446270449,0.030298886466486843,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,hard_full_light_bucket,no_guard,30,0.3,0.7,0.0,-159.04844734498045,13.133333333333333,0.0,0.0,0.0,False,0.027796020263923082,0.03304313880517678,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
wide_current,hard_full_light_bucket,guard_blend_075,30,0.4,0.5666666666666667,0.03333333333333333,-103.3242701541539,20.733333333333334,18.5,0.8922829581993569,0.8666666666666667,True,0.0247067355461868,0.03352262304887681,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
wide_current,hard_full_light_bucket,guard_blend_100,30,0.36666666666666664,0.6,0.03333333333333333,-123.79594649398926,20.7,18.466666666666665,0.8921095008051529,0.8666666666666667,True,0.025901736511073883,0.0350354141744944,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,full_light_geometry,no_guard,30,0.4666666666666667,0.5,0.03333333333333333,-75.39061474717815,19.4,0.0,0.0,0.0,False,0.024210336060802952,0.025820151554194853,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_light_geometry,guard_blend_075,30,0.5333333333333333,0.43333333333333335,0.03333333333333333,-46.57056050664481,24.566666666666666,22.333333333333332,0.9090909090909091,0.9,True,0.020151700571620627,0.027296775059392285,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_light_geometry,guard_blend_100,30,0.5,0.5,0.0,-76.93262199125485,28.2,25.966666666666665,0.9208037825059101,0.9,True,0.02036114762027564,0.030110297323599496,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,hard_full_light_bucket,no_guard,30,0.3333333333333333,0.6666666666666666,0.0,-151.31166403674766,11.966666666666667,0.0,0.0,0.0,False,0.029659035879446023,0.033709597964901986,0.02181168841095079,0.012009490811809185,0.009802197599141606,0.007542270367860437,0.011631573207818971,0.0075,0.0125,9.802197599141607,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,hard_full_light_bucket,guard_blend_075,30,0.3,0.7,0.0,-168.0001674759098,9.933333333333334,7.433333333333334,0.7483221476510067,0.8333333333333334,True,0.02934655687306246,0.03485112230614472,0.02181168841095079,0.012009490811809185,0.009802197599141606,0.007542270367860437,0.011631573207818971,0.0075,0.0125,9.802197599141607,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,hard_full_light_bucket,guard_blend_100,30,0.26666666666666666,0.7333333333333333,0.0,-181.9843232465558,9.5,7.0,0.7368421052631579,0.8333333333333334,True,0.02972224738388606,0.03637278616789305,0.02181168841095079,0.012009490811809185,0.009802197599141606,0.007542270367860437,0.011631573207818971,0.0075,0.0125,9.802197599141607,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
