name,model_path,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,scale_range,noise_std_range,delay_range,filter_alpha_range
visual_camera_reference,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,1.0,0.0,0.0,160.29445744253817,18.833333333333332,1.0:1.0,0.0:0.0,0:0,1.0:1.0
scale_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,136.19857341103577,27.233333333333334,0.8:1.2,0.0:0.0,0:0,1.0:1.0
noise_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,143.38378255606207,24.966666666666665,1.0:1.0,0.0:0.0008,0:0,1.0:1.0
delay_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9666666666666667,0.03333333333333333,0.0,146.27751608591214,23.333333333333332,1.0:1.0,0.0:0.0,0:2,1.0:1.0
filter_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9,0.1,0.0,138.9633675303359,31.9,1.0:1.0,0.0:0.0,0:0,0.55:1.0
delay_filter,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8666666666666667,0.1,0.03333333333333333,119.17871497360684,32.7,1.0:1.0,0.0:0.0,0:2,0.55:1.0
default_control,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8666666666666667,0.13333333333333333,0.0,112.83892434630667,31.366666666666667,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
high_noise,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,139.99829324224086,24.933333333333334,1.0:1.0,0.0:0.0015,0:0,1.0:1.0
high_delay,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.7666666666666667,0.23333333333333334,0.0,69.2670170526148,32.766666666666666,1.0:1.0,0.0:0.0,0:3,1.0:1.0
high_all,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.6666666666666666,0.3333333333333333,0.0,50.129232089546825,42.733333333333334,0.75:1.25,0.0:0.0015,0:3,0.4:1.0
