name,rows,coverage,success_row_rate,timeout_row_rate,collision_row_rate,mean_abs_error_deg,max_abs_error_deg,bad_error_rate,high_error_rate,sign_mismatch_rate,mean_true_abs_deg,mean_pred_abs_deg,mean_xy,mean_z,down_action_rate,up_action_rate
scoped_all,205,1.0,0.0,1.0,0.0,8.782001362455894,47.28291731798416,0.04878048780487805,0.004878048780487805,0.0,21.36938445262993,14.430809422697244,0.028379511883063636,0.06875330442335548,0.0,1.0
visible,204,0.9951219512195122,0.0,1.0,0.0,8.640116454093663,47.28291731798416,0.04411764705882353,0.004901960784313725,0.0,21.359598886662607,14.202077299385389,0.028015118786321992,0.06879416517182893,0.0,1.0
visible_delta_stable,201,0.9804878048780488,0.0,1.0,0.0,8.490877068053035,24.76994148355297,0.03980099502487562,0.0,0.0,21.368079362178516,13.853058163643718,0.027256063527440276,0.06899125866628998,0.0,1.0
yaw_reapply_mid_high,8,0.03902439024390244,0.0,1.0,0.0,9.096798267939679,24.76994148355297,0.25,0.0,0.0,64.54177269275931,73.30898555990068,0.11267415784410664,0.07877480238676071,0.0,1.0
yaw_reapply_high_only,14,0.06829268292682927,0.0,1.0,0.0,5.741202256933755,24.76994148355297,0.14285714285714285,0.0,0.0,82.46432460536002,87.16773723089145,0.11281923111975788,0.0789034196308681,0.0,1.0
descent_small_yaw_xy30,147,0.7170731707317073,0.0,1.0,0.0,9.572008790260014,17.27361696934014,0.04081632653061224,0.0,0.0,11.307947551336321,1.7753279575305698,0.01119242991590538,0.07108895632685447,0.0,1.0
descent_small_yaw_xy16,133,0.6487804878048781,0.0,1.0,0.0,9.880550304285707,17.27361696934014,0.045112781954887216,0.0,0.0,11.568577235773263,1.7315623591475249,0.010175699985658605,0.07154987405117293,0.0,1.0
descent_tiny_yaw_xy16,80,0.3902439024390244,0.0,1.0,0.0,10.733178281392766,17.27361696934014,0.075,0.0,0.0,11.667601523819584,1.006800890911529,0.009346365800867895,0.07094173952937126,0.0,1.0
descent_tiny_yaw_xy8,38,0.18536585365853658,0.0,1.0,0.0,11.43443814336408,17.27361696934014,0.05263157894736842,0.0,0.0,12.175595432495886,0.8388562448080227,0.005762068376723305,0.06766885048464726,0.0,1.0
descent_tiny_yaw_xy8_mid_z,38,0.18536585365853658,0.0,1.0,0.0,11.43443814336408,17.27361696934014,0.05263157894736842,0.0,0.0,12.175595432495886,0.8388562448080227,0.005762068376723305,0.06766885048464726,0.0,1.0
hold_recenter_only,50,0.24390243902439024,0.0,1.0,0.0,6.409012019834369,47.28291731798416,0.04,0.02,0.0,44.04242682401247,42.21741674833479,0.06542238951274207,0.06028304815292358,0.0,1.0
aligned_descent,101,0.4926829268292683,0.0,1.0,0.0,9.520113727422148,17.27361696934014,0.04950495049504951,0.0,0.0,11.052825280217906,1.587439241291656,0.009491987725788567,0.06967305015809465,0.0,1.0
visual_yaw_applied,77,0.375609756097561,0.0,1.0,0.0,8.146574951716966,47.28291731798416,0.012987012987012988,0.012987012987012988,0.0,14.966775411263294,8.370480377086293,0.03211252004484327,0.06418607838742145,0.0,1.0
reacquire_relaxed_yaw,20,0.0975609756097561,0.0,1.0,0.0,4.795416053520863,24.76994148355297,0.1,0.0,0.0,100.49308958831803,104.56205289985728,0.11029745737107237,0.07832845151424409,0.0,1.0
yaw_ok_recenter,6,0.02926829268292683,0.0,1.0,0.0,12.976279635474489,15.025912084792367,0.16666666666666666,0.0,0.0,13.11988685725492,0.18739311189559751,0.012963380205111133,0.08135576049486797,0.0,1.0
low_visibility_brake,1,0.004878048780487805,0.0,1.0,0.0,37.72652266835112,37.72652266835112,1.0,0.0,0.0,23.365639909964358,61.09216257831548,0.10271570361835913,0.06041771173477173,0.0,1.0
