gain,episodes,success_rate,collision_rate,timeout_rate,mean_steps,mean_final_dist_xy,mean_final_dist_z
1.0,50,0.2,0.8,0.0,12.04,0.025547388217330953,0.03773886696450176
0.7,50,0.24,0.76,0.0,11.64,0.026025783702998635,0.03714356916984605
0.5,50,0.3,0.7,0.0,11.64,0.025503464841232414,0.0355730305045903
0.35,50,0.24,0.7,0.06,32.68,0.026732650580623175,0.04099460353940802
0.25,50,0.0,0.62,0.38,87.2,0.027930053367705803,0.044965885262168256
