run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
wrong_basin_hold_wide,908516,16,timeout,timeout_wrong_yaw_basin,1000,0.137407,0.096138,0.015568,0.050115,175.596,175.596,6.173,0,0,432,491,0,2,0,0.138251,0.096467,-175.596,-57.496,nan,recover_recenter,raw_norm_gate,wrong_basin_hold_applied:419;inactive_phase:302;xy_gate:200,0,8,0,0,491,432,495,6,9,27,0,0,0,179.726,179.949,177.107,84.453,84.642,12.277
wrong_basin_hold_wide,908517,17,success,success,291,0.000119,0.008847,0.000119,0.008847,2.488,2.488,0.057,0,0,124,45,58,0,0,0.000498,0.010292,2.488,-3.827,nan,square_fast_settle,applied,inactive_phase:153;applied:75;aligned_descent_latch:29,0,0,12,49,45,136,9,0,3,6,0,0,0,170.013,176.410,32.491,1.670,1.545,2.081
wrong_basin_hold_wide,908518,18,timeout,timeout_yaw_not_aligned,1000,0.016396,0.097558,0.000083,0.000356,78.472,78.472,0.519,27,9,428,398,55,2,0,0.016354,0.097626,78.472,84.206,nan,align_hover,wrong_basin_hold_applied,xy_gate:311;wrong_basin_hold_applied:287;inactive_phase:234,0,18,5,50,398,429,336,22,0,41,0,0,0,179.723,179.516,29.703,82.300,78.520,3.960
wrong_basin_hold_wide,908519,19,success,success,414,0.001997,0.009991,0.000319,0.009991,4.016,4.016,0.036,0,0,263,210,30,1,0,0.002073,0.011569,4.016,-1.900,nan,square_fast_settle,aligned_descent,wrong_basin_hold_applied:180;inactive_phase:151;applied:40,0,0,0,43,210,263,188,0,0,9,0,0,0,171.058,179.620,24.249,7.432,7.176,4.996
wrong_basin_hold_xy60,906500,0,success,success,322,0.002146,0.009200,0.001562,0.009200,9.698,9.698,0.044,3,0,153,118,29,1,0,0.002206,0.010066,9.698,-3.710,nan,square_fast_settle,applied,inactive_phase:118;applied:118;aligned_descent_latch:31,0,0,49,41,118,182,8,0,0,5,0,0,0,162.177,177.778,23.734,1.625,5.158,6.628
wrong_basin_hold_xy60,906501,1,success,success,243,0.002403,0.009355,0.000273,0.009355,0.327,0.327,0.042,0,0,135,46,63,0,0,0.002494,0.010727,-0.327,-1.838,nan,square_fast_settle,aligned_descent_latch,inactive_phase:108;applied:85;aligned_descent:45,0,0,0,50,46,135,9,0,0,6,0,0,0,168.290,179.063,27.357,1.839,0.939,1.115
wrong_basin_hold_xy60,906502,2,success,success,264,0.002165,0.009208,0.000289,0.009208,1.928,1.928,0.047,0,0,113,49,56,0,0,0.002516,0.010866,1.928,-3.847,nan,square_fast_settle,aligned_descent_latch,inactive_phase:146;applied:64;aligned_descent_latch:27,0,0,5,49,49,118,10,0,0,7,0,0,0,167.718,171.141,29.731,1.908,2.913,2.698
wrong_basin_hold_xy60,906503,3,success,success,281,0.002724,0.009345,0.000184,0.009345,6.743,6.743,0.060,0,0,164,61,53,0,0,0.002801,0.010918,6.743,-2.547,nan,square_fast_settle,aligned_descent_latch,inactive_phase:116;applied:113;aligned_descent_latch:30,0,0,0,50,61,164,9,0,1,5,0,0,0,168.859,179.970,31.904,1.647,5.081,6.728
wrong_basin_hold_xy60,906504,4,success,success,662,0.001327,0.008903,0.000256,0.008903,5.683,5.683,0.029,0,0,118,55,65,0,0,0.001355,0.010367,5.683,-2.263,nan,square_fast_settle,aligned_descent_latch,inactive_phase:538;applied:65;aligned_descent_latch:34,0,0,6,51,55,124,8,0,0,5,0,0,0,173.063,179.998,24.626,1.954,3.790,5.744
wrong_basin_hold_xy60,906505,5,success,success,253,0.001878,0.009099,0.000182,0.009099,2.108,2.108,0.039,0,0,129,30,59,0,0,0.002011,0.010612,2.108,-2.447,nan,square_fast_settle,aligned_descent_latch,inactive_phase:124;applied:76;aligned_descent_latch:37,0,0,0,53,30,129,11,0,0,7,0,0,0,169.651,172.705,14.260,1.859,0.881,2.172
