gain,episodes,success_rate,collision_rate,timeout_rate,mean_steps,mean_final_dist_xy,mean_final_dist_z
1.0,50,0.22,0.78,0.0,15.88,0.025904922082900902,0.036328944935924555
0.7,50,0.18,0.82,0.0,10.82,0.027500943842898938,0.037767954787059375
0.5,50,0.26,0.74,0.0,12.08,0.0267060516528275,0.0365310312704304
0.35,50,0.18,0.78,0.04,27.42,0.028247550245525836,0.039687288266233765
0.25,50,0.0,0.7,0.3,68.36,0.028806178774131407,0.04804362972724954
0.18,50,0.0,0.66,0.34,71.96,0.029880874347887706,0.04073634713861465
