tier,scenario,guard_mode,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,mean_hole_half_size,mean_peg_radius,mean_clearance,min_clearance,max_clearance,tier_min_clearance,tier_max_clearance,mean_clearance_mm,tier_min_clearance_mm,tier_max_clearance_mm,hole_half_size_range,peg_radius_range,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
wide_current,full_light_geometry,no_guard,30,0.4666666666666667,0.5333333333333333,0.0,-86.58385614056961,15.133333333333333,0.0,0.0,0.0,False,0.020281250207179555,0.027151229243127153,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_light_geometry,guard_blend_075,30,0.5666666666666667,0.43333333333333335,0.0,-37.32370307029853,27.733333333333334,25.833333333333332,0.9314903846153846,0.9,True,0.017587668278724457,0.027793187072254408,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_light_geometry,guard_blend_100,30,0.5666666666666667,0.4,0.03333333333333333,-28.72177579659274,30.5,28.6,0.9377049180327869,0.9,True,0.017400759968281675,0.028857216857905776,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,hard_full_light_bucket,no_guard,30,0.3333333333333333,0.6666666666666666,0.0,-143.84201689520086,14.3,0.0,0.0,0.0,False,0.0265179683939227,0.03177413355381726,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
wide_current,hard_full_light_bucket,guard_blend_075,30,0.43333333333333335,0.5666666666666667,0.0,-105.3335138649577,15.366666666666667,13.133333333333333,0.8546637744034706,0.8666666666666667,True,0.024600914394932123,0.03079218981473986,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
wide_current,hard_full_light_bucket,guard_blend_100,30,0.4,0.5666666666666667,0.03333333333333333,-109.85145462043948,21.2,18.966666666666665,0.8946540880503144,0.8666666666666667,True,0.02492227892877767,0.03370926717925745,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,full_light_geometry,no_guard,30,0.43333333333333335,0.5666666666666667,0.0,-94.03115459388667,20.933333333333334,0.0,0.0,0.0,False,0.024437457087963372,0.02830032422132491,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_light_geometry,guard_blend_075,30,0.5333333333333333,0.43333333333333335,0.03333333333333333,-42.306789022143576,30.066666666666666,27.866666666666667,0.926829268292683,0.9333333333333333,True,0.019405682809378582,0.0281681478810019,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_light_geometry,guard_blend_100,30,0.5,0.5,0.0,-74.78141160153505,33.56666666666667,31.366666666666667,0.9344587884806355,0.9333333333333333,True,0.01960992132992848,0.031116676073717355,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,hard_full_light_bucket,no_guard,30,0.3333333333333333,0.6666666666666666,0.0,-150.84861901809708,12.1,0.0,0.0,0.0,False,0.02849761039646524,0.0338950566496701,0.02181168841095079,0.012009490811809185,0.009802197599141606,0.007542270367860437,0.011631573207818971,0.0075,0.0125,9.802197599141607,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,hard_full_light_bucket,guard_blend_075,30,0.3,0.7,0.0,-162.64734798953313,15.366666666666667,12.833333333333334,0.8351409978308026,0.8666666666666667,True,0.027732276335003147,0.035839380079863675,0.02181168841095079,0.012009490811809185,0.009802197599141606,0.007542270367860437,0.011631573207818971,0.0075,0.0125,9.802197599141607,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,hard_full_light_bucket,guard_blend_100,30,0.3,0.7,0.0,-167.4371212214108,9.866666666666667,7.333333333333333,0.7432432432432432,0.8666666666666667,True,0.02852118949111019,0.035103167046737,0.02181168841095079,0.012009490811809185,0.009802197599141606,0.007542270367860437,0.011631573207818971,0.0075,0.0125,9.802197599141607,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
