hole_half_size,hole_side_length,peg_radius,peg_diameter,radial_clearance,episodes,success_rate,collision_rate,timeout_rate,mean_steps,mean_final_dist_xy,mean_final_dist_z
0.045,0.09,0.012,0.024,0.033,50,1.0,0.0,0.0,14.92,0.0031021504433112494,0.0074491424341927015
0.029,0.058,0.012,0.024,0.017,50,1.0,0.0,0.0,16.9,0.00372567791793798,0.007756726894933192
0.025,0.05,0.012,0.024,0.013000000000000001,50,1.0,0.0,0.0,15.5,0.0033520910602332908,0.00776999032825576
0.02,0.04,0.012,0.024,0.008,50,1.0,0.0,0.0,14.9,0.003696344453056283,0.007876911420259213
0.017,0.034,0.012,0.024,0.005000000000000001,50,0.8,0.04,0.16,49.28,0.004719759245647147,0.016530414837402644
0.015,0.03,0.012,0.024,0.002999999999999999,50,0.68,0.18,0.14,65.28,0.00698063967206226,0.026418543522787098
