metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,500.0,0.021950608242303132,0.00121298483653212,0.020086772739887238,0.02038663625717163,0.02185891568660736,0.023845077399164437,0.023902112618088722
peg_radius,500.0,0.012017271606251597,0.0002872592136691554,0.011520495638251305,0.011564607731997967,0.012090414762496948,0.012384587898850441,0.012453954666852951
hole_clearance,500.0,0.009933336805552244,0.0013424315042430714,0.007785235997289419,0.008351952768862247,0.009740416891872883,0.012098496779799461,0.012134501710534096
control_action_scale_multiplier,500.0,1.0025805493593216,0.09526735932554166,0.8413964509963989,0.84611976146698,0.9797406792640686,1.1638340950012207,1.185464859008789
control_action_noise_std,500.0,0.0003463207163640618,0.0002599973004110035,1.1392229680495802e-05,1.2120895917178132e-05,0.0002592688542790711,0.0007640362600795925,0.0007716648979112506
control_action_delay,500.0,1.114,0.6877528625894624,0.0,0.0,1.0,2.0,2.0
control_action_filter_alpha,500.0,0.7772405934333801,0.12215435035122363,0.5682277083396912,0.602412223815918,0.7941960096359253,0.9435092806816101,0.971545934677124
fixture_height_offset,500.0,6.742777541330724e-05,0.0006143160568930264,-0.0009284960106015205,-0.0009284960106015205,0.00016723762382753193,0.000972905894741416,0.0009964770870283246
table_height_offset,500.0,0.00011033856129506604,0.0006017156899299096,-0.0009551174589432776,-0.0009116459405049682,0.00038554208003915846,0.0009296918287873268,0.0009828645270317793
contact_friction_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_time_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_damping_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solimp_width_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
joint_damping_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
actuator_kp_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
desired_z,500.0,0.6983695627450943,0.024878187160554427,0.6513645052909851,0.6647909760475159,0.6936661005020142,0.7308081060647964,0.7309964895248413
step_id,500.0,7.358,5.397947387665056,0.0,0.0,7.0,18.0,25.0
hole_center_offset_x,500.0,-6.00675237365067e-06,0.001227007432789435,-0.0018833051435649395,-0.0018696777988225222,0.0003096952277701348,0.001870225416496396,0.0019506191601976752
hole_center_offset_y,500.0,-3.155667282408104e-05,0.0012627652755317835,-0.0018770594615489244,-0.0017098970711231232,-0.00015930317749734968,0.0016840031603351235,0.00194652343634516
hole_center_offset_norm,500.0,0.0016782945224549622,0.0005333692827861418,0.00038905313704162836,0.00048466966836713254,0.001757339807227254,0.0024857514072209597,0.0025840438902378082
action_norm,500.0,1.1461076412200928,0.1855287059214094,0.36342987418174744,0.790034356713295,1.2206555604934692,1.4142135381698608,1.4142135381698608
raw_action_norm,500.0,0.0057305380296893416,0.0009276435510075831,0.00181714934296906,0.003950171964243054,0.006103277672082186,0.0070710680447518826,0.0070710680447518826
unique_episode_id_count,35.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0
