episode,step,control_period_sec,reward,episode_return,terminated,truncated,success,collision,dist_xy,dist_z,shaped_distance,desired_z,action_limited,workspace_limited,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,raw_action_x,raw_action_y,raw_action_z,limited_action_x,limited_action_y,limited_action_z,filtered_action_x,filtered_action_y,filtered_action_z,safe_action_x,safe_action_y,safe_action_z,env_commanded_action_x,env_commanded_action_y,env_commanded_action_z,env_applied_action_x,env_applied_action_y,env_applied_action_z,safe_target_before_clip_x,safe_target_before_clip_y,safe_target_before_clip_z,safe_target_after_clip_x,safe_target_after_clip_y,safe_target_after_clip_z
1,0,0.02,0.0,0.0,False,False,False,False,0.08110105817811361,0.14382589430047055,0.2260280106566978,0.7300338711905313,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.6016248464584351,0.04823292791843414,0.7938597798347473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016248464584351,0.04823292791843414,0.7938597798347473,0.6016248464584351,0.04823292791843414,0.7938597798347473
1,1,0.02,2.186555115342312,2.186555115342312,False,False,False,False,0.07724578576642868,0.14151859571860226,0.21601016725145966,0.7300338711905313,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5981082320213318,0.05002077668905258,0.7915524840354919,-0.004999986384063959,0.004998901858925819,-0.004999957047402859,-0.004999986384063959,0.004998901858925819,-0.004999957047402859,-0.004999986384063959,0.004998901858925819,-0.004999957047402859,-0.004999986384063959,0.004998901858925819,-0.004999957047402859,-0.004999986384063959,0.004998901858925819,-0.004999957047402859,-0.003709654323756695,0.003606682876124978,-0.0032793995924293995,0.5966248600743711,0.05323182977735996,0.7888598227873445,0.5966248600743711,0.05323182977735996,0.7888598227873445
1,2,0.02,2.588449983528279,4.775005098870591,False,False,False,False,0.0706514948865043,0.13703461544869844,0.19833760522170707,0.7300338711905313,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5931844115257263,0.05441559478640556,0.7870684862136841,-0.004999980330467224,0.0049982499331235886,-0.004999956116080284,-0.004999980330467224,0.0049982499331235886,-0.004999956116080284,-0.004999980330467224,0.0049982499331235886,-0.004999956116080284,-0.004999980330467224,0.0049982499331235886,-0.004999956116080284,-0.004999980330467224,0.0049982499331235886,-0.004999956116080284,-0.003130943514406681,0.0038724211044609547,-0.004485276527702808,0.5931082516908646,0.05501902662217617,0.7865525279194117,0.5931082516908646,0.05501902662217617,0.7865525279194117
1,3,0.02,2.812451972040818,7.587457070911409,False,False,False,False,0.0630435569048034,0.13177126980178777,0.1778583836113946,0.7300338711905313,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5877293348312378,0.05976862087845802,0.781805157661438,-0.004999993368983269,0.004998387768864632,-0.004999968223273754,-0.004999993368983269,0.004998387768864632,-0.004999968223273754,-0.004999993368983269,0.004998387768864632,-0.004999968223273754,-0.004999993368983269,0.004998387768864632,-0.004999968223273754,-0.004999993368983269,0.004998387768864632,-0.004999968223273754,-0.0042292270809412,0.00395257817581296,-0.003888914827257395,0.588184418156743,0.059413982555270195,0.7820685179904103,0.588184418156743,0.059413982555270195,0.7820685179904103
1,4,0.02,2.771759956207309,10.359217027118717,False,False,False,False,0.05463182936606327,0.12587053096798395,0.1622917505453594,0.7228763103452824,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5815973281860352,0.06557615846395493,0.7759044170379639,-0.004999998491257429,0.0049956729635596275,-0.004999965894967318,-0.004999998491257429,0.0049956729635596275,-0.004999965894967318,-0.004999998491257429,0.0049956729635596275,-0.004999965894967318,-0.004999998491257429,0.0049956729635596275,-0.004999965894967318,-0.004999998491257429,0.0049956729635596275,-0.004999965894967318,-0.0038355181459337473,0.004213477950543165,-0.004257579334080219,0.5827293363399804,0.06476429384201765,0.7768051917664707,0.5827293363399804,0.06476429384201765,0.7768051917664707
1,5,0.02,2.454398778919236,12.813615806037953,False,False,False,False,0.046317788796193485,0.12012751831955859,0.1510060441836876,0.7117909229187893,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5756561756134033,0.07149652391672134,0.7701613903045654,-0.00499995332211256,0.0049857404083013535,-0.004999859724193811,-0.00499995332211256,0.0049857404083013535,-0.004999859724193811,-0.00499995332211256,0.0049857404083013535,-0.004999859724193811,-0.00499995332211256,0.0049857404083013535,-0.004999859724193811,-0.00499995332211256,0.0049857404083013535,-0.004999859724193811,-0.004077074117958546,0.0038843853399157524,-0.003681482747197151,0.5765973748639226,0.07056189887225628,0.7709045573137701,0.5765973748639226,0.07056189887225628,0.7709045573137701
1,6,0.02,2.1461318879419475,14.959747693979901,False,False,False,False,0.037986288795782766,0.11464587558621508,0.13997006811673687,0.7006822562515751,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5696489810943604,0.07740893959999084,0.7646797299385071,-0.004998300690203905,0.004895967431366444,-0.004999619442969561,-0.004998300690203905,0.004895967431366444,-0.004999619442969561,-0.004998300690203905,0.004895967431366444,-0.004999619442969561,-0.004998300690203905,0.004895967431366444,-0.004999619442969561,-0.004998300690203905,0.004895967431366444,-0.004999619442969561,-0.003722475841641426,0.004155176226049662,-0.0032245300244539976,0.5706578749231994,0.07639249134808779,0.7651617708615959,0.5706578749231994,0.07639249134808779,0.7651617708615959
1,7,0.02,2.2655274865290114,17.225275180508913,False,False,False,False,0.029829952543765494,0.10932427261226452,0.12921090764144155,0.6898071412488853,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5637685060501099,0.08329696953296661,0.7593581676483154,-0.004922306630760431,0.004379564896225929,-0.004998925141990185,-0.004922306630760431,0.004379564896225929,-0.004998925141990185,-0.004922306630760431,0.004379564896225929,-0.004998925141990185,-0.004922306630760431,0.004379564896225929,-0.004998925141990185,-0.004922306630760431,0.004379564896225929,-0.004998925141990185,-0.00406220369040966,0.0038359304890036583,-0.003964806906878948,0.5647266744635999,0.08178850449621677,0.7596808047965169,0.5647266744635999,0.08178850449621677,0.7596808047965169
1,8,0.02,1.9643440523115068,19.18961923282042,False,False,False,False,0.021662487125509264,0.1035880404471804,0.11802969853085318,0.6789171873578771,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5572922229766846,0.08837439864873886,0.7536219358444214,-0.0048406110145151615,0.002825610339641571,-0.004998486023396254,-0.0048406110145151615,0.002825610339641571,-0.004998486023396254,-0.0048406110145151615,0.002825610339641571,-0.004998486023396254,-0.0048406110145151615,0.002825610339641571,-0.004998486023396254,-0.0048406110145151615,0.002825610339641571,-0.004998486023396254,-0.0042432150803506374,0.002828496741130948,-0.003702716436237097,0.5589278950355947,0.08612257987260818,0.7543596816249192,0.5589278950355947,0.08612257987260818,0.7543596816249192
1,9,0.02,1.8052439433572196,20.99486317617764,False,False,False,False,0.014781866402224137,0.098068674910056,0.1079232525115387,0.6697430263934969,False,False,0.8192404775389412,0.0003417422636866559,0,0.8550575400388122,0.5385016202926636,0.09915286302566528,0.6500338912010193,0.5515837669372559,0.09227097034454346,0.7481025457382202,-0.004082101862877607,0.0017305188812315464,-0.004996848292648792,-0.004082101862877607,0.0017305188812315464,-0.004996848292648792,-0.004082101862877607,0.0017305188812315464,-0.004996848292648792,-0.004082101862877607,0.0017305188812315464,-0.004996848292648792,-0.004082101862877607,0.0017305188812315464,-0.004996848292648792,-0.0034741992130875587,0.0019371499074622989,-0.00390857458114624,0.553210121113807,0.09010491752997041,0.7486250875517726,0.553210121113807,0.09010491752997041,0.7486250875517726
