episode,step,reward,episode_return,terminated,truncated,success,collision,dist_xy,dist_z,shaped_distance,desired_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,fixture_height_offset,table_height_offset,hole_half_size,peg_radius,contact_friction_multiplier,contact_solref_time_multiplier,contact_solref_damping_multiplier,contact_solimp_width_multiplier,joint_damping_multiplier,actuator_kp_multiplier,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,commanded_action_x,commanded_action_y,commanded_action_z,applied_action_x,applied_action_y,applied_action_z,hole_center_offset_0,hole_center_offset_1
1,0,0.0,0.0,False,False,False,False,0.04241204647184515,0.07759923013299552,0.10587392778089232,0.7065493952957935,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5926979184150696,0.047985777258872986,0.7275992035865784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.2853688908393877,2.2853688908393877,False,False,False,False,0.0392646532674108,0.076964466389842,0.1031409019014492,0.7023528710232144,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5900726914405823,0.05024920776486397,0.7269644737243652,-0.004623538814485073,0.0028061536140739918,-0.0032484405674040318,-0.004623538814485073,0.0028061536140739918,-0.0032484405674040318,-0.004623538814485073,0.0028061536140739918,-0.0032484405674040318,0.0,0.0
1,2,2.4978134244578745,4.783182315297262,False,False,False,False,0.03214375263004403,0.07119881010289442,0.09262797852292379,0.6928583368400587,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5836000442504883,0.05379648134112358,0.7211987972259521,-0.004584812559187412,0.0031190132722258568,-0.003580826800316572,-0.004584812559187412,0.0031190132722258568,-0.003580826800316572,-0.004584812559187412,0.0031190132722258568,-0.003580826800316572,0.0,0.0
1,3,2.3710395037111582,7.15422181900842,False,False,False,False,0.022684566119113715,0.06194288520619329,0.07706592928560248,0.6802460881588183,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5745936036109924,0.05716530978679657,0.7119429111480713,-0.004218005109578371,0.0003768783062696457,-0.003817546647042036,-0.004218005109578371,0.0003768783062696457,-0.003817546647042036,-0.004218005109578371,0.0003768783062696457,-0.003817546647042036,0.0,0.0
1,4,2.107865280547995,9.262087099556414,False,False,False,False,0.012005736712743952,0.05046944089986438,0.058473265375027034,0.6660076489503253,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5640933513641357,0.05927904322743416,0.700469434261322,-0.00383238447830081,0.00038737012073397636,-0.003595639718696475,-0.00383238447830081,0.00038737012073397636,-0.003595639718696475,-0.00383238447830081,0.00038737012073397636,-0.003595639718696475,0.0,0.0
1,5,1.8158868069500032,11.077973906506417,False,False,False,False,0.002115881195896164,0.03776652615499265,0.03917711361892338,0.6528211749278616,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5542417168617249,0.060615889728069305,0.6877665519714355,-0.001849869266152382,-0.0005671377293765545,-0.003691829042509198,-0.001849869266152382,-0.0005671377293765545,-0.003691829042509198,-0.001849869266152382,-0.0005671377293765545,-0.003691829042509198,0.0,0.0
1,6,1.5484980304363676,12.626471936942785,False,False,False,False,0.004523360659028348,0.024589250098152937,0.027604823870838482,0.6560311475453712,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5476515889167786,0.06095647066831589,0.6745892763137817,0.0030800625681877136,-0.0021854054648429155,-0.0027495354879647493,0.0030800625681877136,-0.0021854054648429155,-0.0027495354879647493,0.0030800625681877136,-0.0021854054648429155,-0.0027495354879647493,0.0,0.0
1,7,1.8168212347957635,14.44329317173855,False,False,False,False,0.007522534127669677,0.012022756705896809,0.017037779457676594,0.6600300455035596,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5446286797523499,0.0599479004740715,0.6620227694511414,0.004439704120159149,-0.002192276995629072,0.00012772995978593826,0.004439704120159149,-0.002192276995629072,0.00012772995978593826,0.004439704120159149,-0.002192276995629072,0.00012772995978593826,0.0,0.0
1,8,2.1408331699317165,16.584126341670267,False,False,False,False,0.008739558598691764,0.005270006206110178,0.023861855789529082,0.6616527447982558,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5435875058174133,0.05857885628938675,0.655269980430603,0.004806327633559704,-0.0014069527387619019,0.0038674157112836838,0.004806327633559704,-0.0014069527387619019,0.0038674157112836838,0.004806327633559704,-0.0014069527387619019,0.0038674157112836838,0.0,0.0
1,9,2.53949570169755,19.123622043367817,False,False,False,False,0.008587454718358907,0.006279282906420214,0.02234556615477609,0.6614499396244785,1.0,0.0,0,1.0,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5437770485877991,0.058427225798368454,0.6562792658805847,0.004933735355734825,3.5309698432683945e-05,0.00444706529378891,0.004933735355734825,3.5309698432683945e-05,0.00444706529378891,0.004933735355734825,3.5309698432683945e-05,0.00444706529378891,0.0,0.0
