tier,scenario,guard_mode,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,mean_hole_half_size,mean_peg_radius,mean_clearance,min_clearance,max_clearance,tier_min_clearance,tier_max_clearance,mean_clearance_mm,tier_min_clearance_mm,tier_max_clearance_mm,hole_half_size_range,peg_radius_range,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
wide_current,full_light_geometry,no_guard,30,0.5333333333333333,0.4666666666666667,0.0,-57.03514441275495,19.7,0.0,0.0,0.0,False,0.01928425034683951,0.02585713417221362,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_light_geometry,guard_blend_075,30,0.5333333333333333,0.4666666666666667,0.0,-49.91941747148372,31.1,29.166666666666668,0.9378349410503751,0.9,True,0.018261780236411233,0.0299336962927215,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_light_geometry,guard_blend_100,30,0.5666666666666667,0.4,0.03333333333333333,-28.906188791455016,30.5,28.566666666666666,0.9366120218579235,0.9,True,0.017494869195164242,0.028936408891775383,0.027037963247236736,0.012049866074876623,0.014988097172360115,0.012687700706219152,0.017069686503150012,0.0125,0.0175,14.988097172360115,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,hard_full_light_bucket,no_guard,30,0.23333333333333334,0.7666666666666667,0.0,-191.93310762505638,11.5,0.0,0.0,0.0,False,0.028876800909976488,0.033718835741850826,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
wide_current,hard_full_light_bucket,guard_blend_075,30,0.4666666666666667,0.5333333333333333,0.0,-91.35010406422883,16.466666666666665,14.233333333333333,0.8643724696356275,0.8666666666666667,True,0.023639181788421285,0.02936800126490313,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
wide_current,hard_full_light_bucket,guard_blend_100,30,0.43333333333333335,0.5333333333333333,0.03333333333333333,-95.42502524445234,21.733333333333334,19.5,0.8972392638036809,0.8666666666666667,True,0.02452263532245104,0.03257810367440126,0.02681168841095079,0.012009490811809185,0.014802197599141607,0.012542270367860438,0.016631573207818967,0.0125,0.0175,14.802197599141607,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,full_light_geometry,no_guard,30,0.43333333333333335,0.5666666666666667,0.0,-97.5517729071268,16.966666666666665,0.0,0.0,0.0,False,0.02505264216751204,0.028673834121877472,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_light_geometry,guard_blend_075,30,0.5333333333333333,0.43333333333333335,0.03333333333333333,-43.62616335100155,30.133333333333333,27.9,0.9258849557522123,0.9333333333333333,True,0.019585831663089037,0.02792669537683847,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_light_geometry,guard_blend_100,30,0.5,0.5,0.0,-72.36573477797852,34.766666666666666,32.53333333333333,0.9357622243528283,0.9333333333333333,True,0.019706472577488976,0.03114300487413174,0.022037963247236735,0.012049866074876623,0.009988097172360115,0.007687700706219151,0.01206968650315001,0.0075,0.0125,9.988097172360115,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,hard_full_light_bucket,no_guard,30,0.3,0.6666666666666666,0.03333333333333333,-160.30075418069586,16.8,0.0,0.0,0.0,False,0.029729756253285444,0.03417786863503897,0.02181168841095079,0.012009490811809185,0.009802197599141606,0.007542270367860437,0.011631573207818971,0.0075,0.0125,9.802197599141607,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
