metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,4000.0,0.024482740189414473,0.002783613337559136,0.020000044256448746,0.020356543362140656,0.024500302970409393,0.028629593551158905,0.028984345495700836
peg_radius,4000.0,0.011986908588791267,0.0002901227280369831,0.011500051245093346,0.01154017448425293,0.01198549009859562,0.012453138828277588,0.01249991450458765
hole_clearance,4000.0,0.012495831572450697,0.002789008791426194,0.007527514826506376,0.008367256261408329,0.012488823384046555,0.016594501212239265,0.017446009442210197
control_action_scale_multiplier,4000.0,0.9974113585650921,0.10713309746000557,0.8000414967536926,0.8222926259040833,1.0060243606567383,1.1764066517353058,1.1998692750930786
control_action_noise_std,4000.0,0.00026975052892633044,0.00022277246066582852,3.30568212802973e-07,1.9079911180597267e-05,0.0001906746911117807,0.0007205305097158997,0.0007983276154845953
control_action_delay,4000.0,1.54525,0.6866239418342475,0.0,0.0,2.0,2.0,2.0
control_action_filter_alpha,4000.0,0.7032522615939378,0.1214413899325503,0.5502713918685913,0.5652262449264527,0.6638636589050293,0.9544662237167358,0.999862015247345
fixture_height_offset,4000.0,-6.937852960394508e-06,0.0005899186141178598,-0.000998773379251361,-0.0009110358398174866,-2.5406009172002086e-06,0.0008946208370616659,0.0009998736204579473
table_height_offset,4000.0,-1.7390200975768265e-05,0.0005767482264949397,-0.0009984418284147978,-0.0008971419039880857,-4.568959957396146e-05,0.0009185373201034963,0.0009985388023778796
desired_z,4000.0,0.7139241234362126,0.019552962324785803,0.6513488292694092,0.6729876697063446,0.7224390804767609,0.7307281404733658,0.7309998869895935
step_id,4000.0,57.3625,71.17213354782895,0.0,2.0,8.0,185.0,199.0
steps_to_end,4000.0,4.193,2.549166726599106,1.0,1.0,4.0,9.0,10.0
dist_xy,4000.0,0.01726640907550609,0.006317742087733279,0.0001731107768137008,0.0057740436866879465,0.01811084244400263,0.02716625304892659,0.029989147558808327
dist_z,4000.0,0.052902221730677414,0.017461586880133682,0.0060775973834097385,0.00967926154844463,0.054150115698575974,0.07586496137082577,0.08816299587488174
z_above_target,4000.0,0.05290222044289112,0.01746158619158429,0.006077587604522705,0.009679269790649415,0.054150134325027466,0.07586499750614166,0.08816301822662354
policy_norm,4000.0,0.007142279462772422,0.001166029961519388,0.001416472252458334,0.004979674099013209,0.0072589353658258915,0.00865154592320323,0.008660223335027695
oracle_norm,4000.0,0.006332751322479453,0.0005801877648110654,0.003559403121471405,0.005362796946428716,0.006103278137743473,0.0070710680447518826,0.0070710680447518826
correction_norm,4000.0,0.008703243683674373,0.002505626279542912,0.006000823341310024,0.006148688122630119,0.007851417642086744,0.014131142804399132,0.015607899986207485
correction_xy_norm,4000.0,0.005422919252975589,0.003507590734602013,2.2533104129252024e-05,0.0010713958996348084,0.004249992780387402,0.011565802711993456,0.012063748203217983
action_cosine,4000.0,0.13514689744679345,0.4747887590497873,-0.9995960593223572,-0.9087039321660996,0.3230849355459213,0.5937487930059432,0.7199192643165588
near_hole_rate,4000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
failure_window_rate,4000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
opposed_actions_rate,4000.0,0.2575,0.4372570754144522,0.0,0.0,0.0,1.0,1.0
policy_down_or_oracle_up_rate,4000.0,0.28675,0.45224378105176855,0.0,0.0,0.0,1.0,1.0
policy_down_oracle_less_down_rate,4000.0,0.51375,0.4998109017418488,0.0,0.0,1.0,1.0,1.0
episode_success_rate,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_collision_rate,4000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
episode_timeout_rate,4000.0,0.0015,0.03870077518603471,0.0,0.0,0.0,0.0,1.0
hole_center_offset_x,4000.0,9.787511734367626e-05,0.0011467165169040585,-0.00199967622756958,-0.001776751596480608,0.00015244591486407444,0.0017900312086567283,0.0019977816846221685
hole_center_offset_y,4000.0,-5.28214845261914e-05,0.001146814512023798,-0.001995622646063566,-0.0018178399186581373,-7.559653022326529e-05,0.0017691440880298615,0.0019998501520603895
hole_center_offset_norm,4000.0,0.0015234761424044337,0.0005670382674431522,3.103127164649777e-05,0.00047688576159998775,0.0015787043957971036,0.002393302973359823,0.002812776016071439
action_norm,4000.0,1.2665502704828977,0.11603755070653136,0.7118806838989258,1.0725594520568849,1.2206555604934692,1.4142135381698608,1.4142136573791504
raw_action_norm,4000.0,0.006332751276029739,0.000580187852888231,0.003559403121471405,0.005362797388806939,0.006103277672082186,0.0070710680447518826,0.0070710680447518826
policy_action_norm,4000.0,1.428455891110003,0.23320599246319004,0.2832944393157959,0.9959348112344741,1.4517870545387268,1.730309283733368,1.7320446968078613
policy_raw_action_norm,4000.0,0.007142279461433645,0.0011660299662628877,0.001416472252458334,0.004979674099013209,0.007258935598656535,0.008651546807959676,0.00866022426635027
correction_raw_action_norm,4000.0,0.008703243690892122,0.0025056262806859167,0.006000823806971312,0.006148688122630119,0.007851417642086744,0.014131143735721706,0.015607899986207485
