profile,clearance_mm,yaw_error_deg,canonical_yaw_error_deg,period_deg,passes_geometry,min_margin_mm,clearance_reference
rectangular_key,3.0,10.0,10.0,360.0,False,-0.13653005189925155,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,15.0,15.0,360.0,False,-1.6177814658419747,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,0.0,0.0,360.0,True,1.0011440091596373,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,1.0,1.0,360.0,True,0.9172260484000515,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,2.0,2.0,360.0,True,0.9128113481759736,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,3.0,3.0,360.0,True,0.8276680701423973,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,5.0,5.0,360.0,True,0.7380456380689654,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,8.0,8.0,360.0,True,0.5586119023914278,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,10.0,10.0,360.0,True,0.46880278084202726,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,15.0,15.0,360.0,False,-0.6177814658419739,uniform 2D offset of keyhole radius/tab dimensions
square_square,0.25,0.0,0.0,90.0,True,0.2499999999999985,hole half-size - peg half-size
square_square,0.25,1.0,1.0,90.0,True,0.04239878087590292,hole half-size - peg half-size
square_square,0.25,2.0,2.0,90.0,False,-0.16148388465916064,hole half-size - peg half-size
square_square,0.25,3.0,3.0,90.0,False,-0.3615858919702123,hole half-size - peg half-size
square_square,0.25,5.0,5.0,90.0,False,-0.7502052900728445,hole half-size - peg half-size
square_square,0.25,8.0,8.0,90.0,False,-1.3032940364196295,hole half-size - peg half-size
square_square,0.25,10.0,10.0,90.0,False,-1.6514711681496608,hole half-size - peg half-size
square_square,0.25,15.0,15.0,90.0,False,-2.446938456699068,hole half-size - peg half-size
square_square,0.5,0.0,0.0,90.0,True,0.4999999999999987,hole half-size - peg half-size
square_square,0.5,1.0,1.0,90.0,True,0.29239878087590315,hole half-size - peg half-size
square_square,0.5,2.0,2.0,90.0,True,0.0885161153408396,hole half-size - peg half-size
square_square,0.5,3.0,3.0,90.0,False,-0.11158589197021208,hole half-size - peg half-size
square_square,0.5,5.0,5.0,90.0,False,-0.5002052900728443,hole half-size - peg half-size
square_square,0.5,8.0,8.0,90.0,False,-1.0532940364196293,hole half-size - peg half-size
square_square,0.5,10.0,10.0,90.0,False,-1.4014711681496606,hole half-size - peg half-size
square_square,0.5,15.0,15.0,90.0,False,-2.196938456699068,hole half-size - peg half-size
square_square,0.75,0.0,0.0,90.0,True,0.7499999999999989,hole half-size - peg half-size
square_square,0.75,1.0,1.0,90.0,True,0.5423987808759033,hole half-size - peg half-size
square_square,0.75,2.0,2.0,90.0,True,0.3385161153408398,hole half-size - peg half-size
square_square,0.75,3.0,3.0,90.0,True,0.13841410802978815,hole half-size - peg half-size
square_square,0.75,5.0,5.0,90.0,False,-0.2502052900728441,hole half-size - peg half-size
square_square,0.75,8.0,8.0,90.0,False,-0.803294036419629,hole half-size - peg half-size
square_square,0.75,10.0,10.0,90.0,False,-1.1514711681496603,hole half-size - peg half-size
square_square,0.75,15.0,15.0,90.0,False,-1.946938456699068,hole half-size - peg half-size
square_square,1.0,0.0,0.0,90.0,True,0.9999999999999991,hole half-size - peg half-size
square_square,1.0,1.0,1.0,90.0,True,0.7923987808759035,hole half-size - peg half-size
square_square,1.0,2.0,2.0,90.0,True,0.58851611534084,hole half-size - peg half-size
square_square,1.0,3.0,3.0,90.0,True,0.3884141080297884,hole half-size - peg half-size
square_square,1.0,5.0,5.0,90.0,False,-0.0002052900728438667,hole half-size - peg half-size
square_square,1.0,8.0,8.0,90.0,False,-0.5532940364196288,hole half-size - peg half-size
square_square,1.0,10.0,10.0,90.0,False,-0.90147116814966,hole half-size - peg half-size
square_square,1.0,15.0,15.0,90.0,False,-1.6969384566990677,hole half-size - peg half-size
square_square,1.5,0.0,0.0,90.0,True,1.4999999999999978,hole half-size - peg half-size
square_square,1.5,1.0,1.0,90.0,True,1.2923987808759023,hole half-size - peg half-size
square_square,1.5,2.0,2.0,90.0,True,1.0885161153408387,hole half-size - peg half-size
square_square,1.5,3.0,3.0,90.0,True,0.888414108029787,hole half-size - peg half-size
square_square,1.5,5.0,5.0,90.0,True,0.49979470992715486,hole half-size - peg half-size
square_square,1.5,8.0,8.0,90.0,False,-0.05329403641963007,hole half-size - peg half-size
square_square,1.5,10.0,10.0,90.0,False,-0.40147116814966133,hole half-size - peg half-size
square_square,1.5,15.0,15.0,90.0,False,-1.196938456699069,hole half-size - peg half-size
square_square,2.0,0.0,0.0,90.0,True,1.9999999999999982,hole half-size - peg half-size
square_square,2.0,1.0,1.0,90.0,True,1.7923987808759028,hole half-size - peg half-size
square_square,2.0,2.0,2.0,90.0,True,1.5885161153408391,hole half-size - peg half-size
square_square,2.0,3.0,3.0,90.0,True,1.3884141080297876,hole half-size - peg half-size
square_square,2.0,5.0,5.0,90.0,True,0.9997947099271552,hole half-size - peg half-size
square_square,2.0,8.0,8.0,90.0,True,0.4467059635803704,hole half-size - peg half-size
square_square,2.0,10.0,10.0,90.0,True,0.09852883185033912,hole half-size - peg half-size
square_square,2.0,15.0,15.0,90.0,False,-0.6969384566990686,hole half-size - peg half-size
square_square,3.0,0.0,0.0,90.0,True,2.9999999999999973,hole half-size - peg half-size
square_square,3.0,1.0,1.0,90.0,True,2.792398780875902,hole half-size - peg half-size
square_square,3.0,2.0,2.0,90.0,True,2.5885161153408385,hole half-size - peg half-size
square_square,3.0,3.0,3.0,90.0,True,2.3884141080297865,hole half-size - peg half-size
square_square,3.0,5.0,5.0,90.0,True,1.9997947099271545,hole half-size - peg half-size
square_square,3.0,8.0,8.0,90.0,True,1.4467059635803696,hole half-size - peg half-size
square_square,3.0,10.0,10.0,90.0,True,1.0985288318503383,hole half-size - peg half-size
square_square,3.0,15.0,15.0,90.0,True,0.3030615433009306,hole half-size - peg half-size
square_square,4.0,0.0,0.0,90.0,True,3.9999999999999982,hole half-size - peg half-size
square_square,4.0,1.0,1.0,90.0,True,3.792398780875903,hole half-size - peg half-size
square_square,4.0,2.0,2.0,90.0,True,3.5885161153408394,hole half-size - peg half-size
square_square,4.0,3.0,3.0,90.0,True,3.3884141080297874,hole half-size - peg half-size
square_square,4.0,5.0,5.0,90.0,True,2.9997947099271554,hole half-size - peg half-size
square_square,4.0,8.0,8.0,90.0,True,2.4467059635803703,hole half-size - peg half-size
square_square,4.0,10.0,10.0,90.0,True,2.0985288318503392,hole half-size - peg half-size
square_square,4.0,15.0,15.0,90.0,True,1.3030615433009314,hole half-size - peg half-size
triangle_triangle,0.25,0.0,0.0,120.0,True,0.24999999999999822,hole apothem - peg apothem
triangle_triangle,0.25,1.0,1.0,120.0,True,0.06954310107934994,hole apothem - peg apothem
triangle_triangle,0.25,2.0,2.0,120.0,False,-0.10903117079845909,hole apothem - peg apothem
triangle_triangle,0.25,3.0,3.0,120.0,False,-0.2856684201803243,hole apothem - peg apothem
triangle_triangle,0.25,5.0,5.0,120.0,False,-0.632917236212553,hole apothem - peg apothem
triangle_triangle,0.25,8.0,8.0,120.0,False,-1.1379377039078995,hole apothem - peg apothem
triangle_triangle,0.25,10.0,10.0,120.0,False,-1.4634513162384717,hole apothem - peg apothem
triangle_triangle,0.25,15.0,15.0,120.0,False,-2.23528137423857,hole apothem - peg apothem
triangle_triangle,0.5,0.0,0.0,120.0,True,0.4999999999999983,hole apothem - peg apothem
triangle_triangle,0.5,1.0,1.0,120.0,True,0.31954310107934975,hole apothem - peg apothem
triangle_triangle,0.5,2.0,2.0,120.0,True,0.14096882920154055,hole apothem - peg apothem
triangle_triangle,0.5,3.0,3.0,120.0,False,-0.03566842018032468,hole apothem - peg apothem
triangle_triangle,0.5,5.0,5.0,120.0,False,-0.3829172362125529,hole apothem - peg apothem
triangle_triangle,0.5,8.0,8.0,120.0,False,-0.8879377039078998,hole apothem - peg apothem
triangle_triangle,0.5,10.0,10.0,120.0,False,-1.2134513162384715,hole apothem - peg apothem
