episode,step,control_period_sec,reward,episode_return,terminated,truncated,success,collision,dist_xy,dist_z,shaped_distance,desired_z,guard_enabled,guard_active,guard_should_activate,guard_can_activate,guard_activated,guard_down_blocked,guard_steps_since_reset,guard_min_policy_steps,guard_dist_xy,guard_z_above_target,action_limited,workspace_limited,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,guarded_action_x,guarded_action_y,guarded_action_z,final_action_x,final_action_y,final_action_z,raw_action_x,raw_action_y,raw_action_z,limited_action_x,limited_action_y,limited_action_z,filtered_action_x,filtered_action_y,filtered_action_z,safe_action_x,safe_action_y,safe_action_z,env_commanded_action_x,env_commanded_action_y,env_commanded_action_z,env_applied_action_x,env_applied_action_y,env_applied_action_z,safe_target_before_clip_x,safe_target_before_clip_y,safe_target_before_clip_z,safe_target_after_clip_x,safe_target_after_clip_y,safe_target_after_clip_z
1,0,0.02,0.0,0.0,False,False,False,False,0.052592554240209845,0.07675299862419072,0.10843210985622893,0.7308462315088048,True,False,False,False,False,False,0,0,nan,nan,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.5926979184150696,0.047985777258872986,0.7275992035865784,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5926979184150696,0.047985777258872986,0.7275992035865784,0.5926979184150696,0.047985777258872986,0.7275992035865784
1,1,0.02,-0.20955796605033544,-0.20955796605033544,False,False,False,False,0.052455075306739644,0.07704465534208438,0.10786549527139487,0.7308462315088048,True,True,True,True,True,False,0,0,0.052592554240209845,0.07675296068191528,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.5916898250579834,0.04944421350955963,0.7278909087181091,-0.004998289979994297,-0.004981245845556259,0.0021702898666262627,-0.004362787120044231,-0.0024425575975328684,0.0032470393925905228,-0.004521662835031748,-0.003077229717746377,0.0029778520110994577,-0.004521662835031748,-0.003077229717746377,0.0029778520110994577,-0.004521662835031748,-0.003077229717746377,0.0029778520110994577,-0.004521662835031748,-0.003077229717746377,0.0029778520110994577,-0.004521662835031748,-0.003077229717746377,0.0029778520110994577,-0.004521662835031748,-0.003077229717746377,0.0029778520110994577,3.348960308358073e-05,-7.833327254047617e-05,5.6113208302122075e-06,0.5881762555800378,0.04490854754112661,0.7305770555976778,0.5881762555800378,0.04490854754112661,0.7305770555976778
1,2,0.02,-0.24839642661975986,-0.4579543926700953,False,False,False,False,0.05110496129570207,0.07388305197912703,0.10832687061227707,0.7308462315088048,True,True,True,True,False,False,1,0,0.052455075306739644,0.07704466581344604,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.5893686413764954,0.050583332777023315,0.7247292995452881,-0.004998105578124523,-0.004975660238415003,0.002165235113352537,-0.004282285925000906,-0.0025810906663537025,0.002949722809717059,-0.004461240954697132,-0.0031797331757843494,0.0027536009438335896,-0.004461240954697132,-0.0031797331757843494,0.0027536009438335896,-0.004461240954697132,-0.0031797331757843494,0.0027536009438335896,-0.004461240954697132,-0.0031797331757843494,0.0027536009438335896,-0.004461240954697132,-0.0031797331757843494,0.0027536009438335896,-0.004461240954697132,-0.0031797331757843494,0.0027536009438335896,2.9882861781516112e-05,9.528574082651176e-06,-1.0998310244758613e-05,0.5872285841032863,0.04626448033377528,0.7306445096619427,0.5872285841032863,0.04626448033377528,0.7306445096619427
1,3,0.02,1.3880159205105274,0.9300615278404321,False,False,False,False,0.04627413510200878,0.06850178025294051,0.104046489951077,0.7308462315088048,True,True,True,True,False,False,2,0,0.05110496129570207,0.073883056640625,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.5836889147758484,0.05024160444736481,0.7193480134010315,-0.00499868905171752,-0.0049824584275484085,0.002627310808748007,-0.004164515994489193,-0.002767093712463975,0.004999999888241291,-0.004373059142380953,-0.0033209349494427443,0.004406827501952648,-0.004373059142380953,-0.0033209349494427443,0.004406827501952648,-0.004373059142380953,-0.0033209349494427443,0.004406827501952648,-0.004373059142380953,-0.0033209349494427443,0.004406827501952648,-0.004373059142380953,-0.0033209349494427443,0.004406827501952648,-0.004373059142380953,-0.0033209349494427443,0.004406827501952648,-0.0028352399822324514,-0.0019528245320543647,0.001938830828294158,0.5849955822341144,0.04726239782758057,0.7291361270472407,0.5849955822341144,0.04726239782758057,0.7291361270472407
1,4,0.02,2.059419732298043,2.9894812601384753,False,False,False,False,0.03712517999676822,0.06215515464413979,0.09209520534939661,0.7308462315088048,True,True,True,True,False,False,3,0,0.04627413510200878,0.06850177049636841,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.5739307403564453,0.047643885016441345,0.7130013704299927,-0.004996635019779205,-0.004989263601601124,0.0028456393629312515,-0.0039740377105772495,-0.003034308087080717,0.004999999888241291,-0.00422968715429306,-0.003523046849295497,0.0044614095240831375,-0.00422968715429306,-0.003523046849295497,0.0044614095240831375,-0.00422968715429306,-0.003523046849295497,0.0044614095240831375,-0.00422968715429306,-0.003523046849295497,0.0044614095240831375,-0.00422968715429306,-0.003523046849295497,0.0044614095240831375,-0.00422968715429306,-0.003523046849295497,0.0044614095240831375,-0.003678862936794758,-0.0026246230117976665,0.0023172753863036633,0.5794592276215553,0.04671855759806931,0.7238094229251146,0.5794592276215553,0.04671855759806931,0.7238094229251146
1,5,0.02,2.5062252234899636,5.495706483628439,False,False,False,False,0.026590601402608684,0.055982750231247325,0.07719845257397001,0.7308462315088048,True,True,True,True,False,False,4,0,0.03712517999676822,0.06215512752532959,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.5625168085098267,0.04374806955456734,0.7068290114402771,-0.004987816326320171,-0.004994986578822136,0.0010573887266218662,-0.0035901148803532124,-0.003480097046121955,0.004999999888241291,-0.00393954012542963,-0.0038588193710893393,0.004014347214251757,-0.00393954012542963,-0.0038588193710893393,0.004014347214251757,-0.00393954012542963,-0.0038588193710893393,0.004014347214251757,-0.00393954012542963,-0.0038588193710893393,0.004014347214251757,-0.00393954012542963,-0.0038588193710893393,0.004014347214251757,-0.00393954012542963,-0.0038588193710893393,0.004014347214251757,-0.003984400536864996,-0.002925495384261012,0.0036393150221556425,0.5699912002310157,0.043785065645352006,0.7170157176442444,0.5699912002310157,0.043785065645352006,0.7170157176442444
1,6,0.02,2.6200223741578315,8.11572885778627,False,False,False,False,0.017157511159230324,0.050685069343659794,0.05225999761172209,0.7194762761457261,True,True,True,True,False,False,5,0,0.026590601402608684,0.055982768535614014,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.550386905670166,0.03907378390431404,0.7015312910079956,-0.0045578256249427795,-0.00499343778938055,-0.0003268416039645672,-0.0026735628489404917,-0.004225169774144888,0.004999999888241291,-0.0031446286011487246,-0.004417236894369125,0.0036682896316051483,-0.0031446286011487246,-0.004417236894369125,0.0036682896316051483,-0.0031446286011487246,-0.004417236894369125,0.0036682896316051483,-0.0031446286011487246,-0.004417236894369125,0.0036682896316051483,-0.0031446286011487246,-0.004417236894369125,0.0036682896316051483,-0.0031446286011487246,-0.004417236894369125,0.0036682896316051483,-0.004055661149322987,-0.0031253963243216276,0.00401077838614583,0.5593721799086779,0.03933083266019821,0.7104973010718822,0.5593721799086779,0.03933083266019821,0.7104973010718822
1,7,0.02,1.2874399639462606,9.40316882173253,False,False,False,False,0.014404488369088335,0.046290314573772195,0.04013661564075782,0.7084641849851582,True,True,True,True,False,False,6,0,0.017157511159230324,0.05068504810333252,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.5383777022361755,0.03397362306714058,0.6971365213394165,0.0035710707306861877,-0.004994733724743128,0.0021187919192016125,0.0001744275214150548,-0.004996956791728735,-0.0035000001080334187,0.0010235883528366685,-0.0049964007921516895,-0.002095302101224661,0.0010235883528366685,-0.0049964007921516895,-0.002095302101224661,0.0010235883528366685,-0.0049964007921516895,-0.002095302101224661,0.0010235883528366685,-0.0049964007921516895,-0.002095302101224661,0.0010235883528366685,-0.0049964007921516895,-0.002095302101224661,0.0010235883528366685,-0.0049964007921516895,-0.002095302101224661,-0.0037874148692935705,-0.0034191440790891647,0.0038948478177189827,0.5514104940230027,0.03407738311216235,0.699435988906771,0.5514104940230027,0.03407738311216235,0.699435988906771
1,8,0.02,0.10609550776211085,9.509264329494641,False,False,False,False,0.01917508451690124,0.043011148790129905,0.07203935831127758,0.7275465695764098,True,True,True,True,False,False,7,0,0.014404488369088335,0.04629027843475342,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.528771162033081,0.028802061453461647,0.6938573718070984,0.004940373823046684,-0.0049733794294297695,0.003799053840339184,0.004142057150602341,-0.0028006001375615597,-0.0035000001080334187,0.004341636318713427,-0.003343794960528612,-0.0016752367373555899,0.004341636318713427,-0.003343794960528612,-0.0016752367373555899,0.004341636318713427,-0.003343794960528612,-0.0016752367373555899,0.004341636318713427,-0.003343794960528612,-0.0016752367373555899,0.004341636318713427,-0.003343794960528612,-0.0016752367373555899,0.004341636318713427,-0.003343794960528612,-0.0016752367373555899,-0.0032400600612163544,-0.004018252715468407,0.003549451706930995,0.542719338554889,0.030629828106611967,0.6954612846020609,0.542719338554889,0.030629828106611967,0.6954612846020609
1,9,0.02,0.36567384970156525,9.874938179196207,False,False,False,False,0.015293277877603546,0.042341119052660914,0.049418548212960337,0.712019343019219,True,True,True,True,False,False,8,0,0.01917508451690124,0.0430111289024353,False,False,0.9412814902733933,0.00010748989841065579,2,0.6672688988596618,0.5468078851699829,0.022293703630566597,0.6508462429046631,0.5317963361740112,0.025215409696102142,0.6931873559951782,0.004975814372301102,-0.004810746759176254,0.0038447538390755653,0.004966105334460735,-0.0005812027375213802,0.004999999888241291,0.004968532361090183,-0.0016385887283831835,0.00471118837594986,0.004968532361090183,-0.0016385887283831835,0.00471118837594986,0.004968532361090183,-0.0016385887283831835,0.00471118837594986,0.004968532361090183,-0.0016385887283831835,0.00471118837594986,0.004968532361090183,-0.0016385887283831835,0.00471118837594986,0.004968532361090183,-0.0016385887283831835,0.00471118837594986,-0.0005940830451436341,-0.004514154512435198,-0.0001497643970651552,0.5337396943941712,0.027163472725078464,0.6985685601830482,0.5337396943941712,0.027163472725078464,0.6985685601830482
