hole_half_size,hole_side_length,peg_radius,peg_diameter,radial_clearance,episodes,success_rate,collision_rate,timeout_rate,mean_steps,mean_final_dist_xy,mean_final_dist_z
0.02,0.04,0.012,0.024,0.008,50,0.94,0.06,0.0,23.34,0.0046260801590324654,0.012067971426046946
0.017,0.034,0.012,0.024,0.005000000000000001,50,0.84,0.12,0.04,52.44,0.0064370340744734035,0.019099691355436998
0.015,0.03,0.012,0.024,0.002999999999999999,50,0.58,0.36,0.06,98.8,0.009868383639884586,0.03842033457453432
0.014,0.028,0.012,0.024,0.002,50,0.5,0.5,0.0,98.4,0.011396336548442807,0.04534249919146119
