tier,scenario,scenario_level,episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,mean_correction_norm,mean_near_correction_norm,mean_failure_window_correction_norm,near_hole_step_rate,opposed_action_rate,failure_window_opposed_action_rate,failure_window_policy_down_or_oracle_up_rate,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,hole_half_size,peg_radius,hole_clearance
wide_current,full_light_geometry,full_light_geometry,0,980000,success,True,False,False,9,137.66170212696167,0.004813624356213802,0.0055709888312690525,0.00311000581598103,0.005814445565931055,0.005814445565931055,nan,1.0,0.2222222222222222,nan,nan,1.097212452840714,5.421681015065652e-05,0,0.885824010341222,0.02891791232167286,0.012188537634132555,0.016729374687540304
wide_current,full_light_geometry,full_light_geometry,1,980001,collision,False,True,False,168,-131.46705478855642,0.02045702774329635,0.0815578004103662,0.0032009538903460407,0.007615613997120168,0.007803874812402397,0.008308926938581259,0.9642857142857143,0.2976190476190476,0.0,0.0,0.9424861620185586,0.0007584980382697383,1,0.7910863236751569,0.027130826118708356,0.01247079492598574,0.014660031192722616
wide_current,full_light_geometry,full_light_geometry,2,980002,success,True,False,False,11,128.35465761601225,0.004654944525702382,0.006754411272992811,0.0033218191523131115,0.0049392144933349345,0.0049392144933349345,nan,1.0,0.0,nan,nan,0.8024007898121093,0.00028215971728628525,1,0.7069368365570471,0.025625476189001368,0.012426744936419694,0.013198731252581674
wide_current,full_light_geometry,full_light_geometry,3,980003,collision,False,True,False,174,-41.925371818150666,0.025255819989604494,0.06938288818677507,0.005695731630066775,0.005471602559027605,0.005471602559027605,0.010056903457732472,1.0,0.040229885057471264,0.25,0.25,0.8610312084732328,0.0003384107295787222,1,0.573156663379679,0.02644972130764265,0.012015299605906174,0.014434421701736476
wide_current,full_light_geometry,full_light_geometry,4,980004,success,True,False,False,13,132.5591549711495,0.0018502262894431823,0.0077271471016399085,0.0064215812168642045,0.0027909341027140887,0.0027909341027140887,nan,1.0,0.07692307692307693,nan,nan,0.9020412614627524,0.0007074694481263252,1,0.6549679002034147,0.028059093719276975,0.011690069652666786,0.01636902406661019
wide_current,full_light_geometry,full_light_geometry,5,980005,success,True,False,False,14,130.7600535627172,0.004108166455522298,0.007797242844078456,0.001786385336154667,0.0054143817802688714,0.0054143817802688714,nan,1.0,0.14285714285714285,nan,nan,0.921285887045231,0.00022954150531318167,1,0.9302422565623876,0.026770880029232502,0.011794048482360842,0.01497683154687166
wide_current,full_light_geometry,full_light_geometry,6,980006,success,True,False,False,20,161.76587021077944,0.0038146570738641305,0.0077326008933629176,0.0033284115428823284,0.005990864736001242,0.007146743673408733,nan,0.7,0.15,nan,nan,1.1599606290552689,0.00033375862502783865,0,0.6648542874399634,0.02794893311706047,0.011729248293891843,0.01621968482316863
wide_current,full_light_geometry,full_light_geometry,7,980007,success,True,False,False,12,139.293300249274,0.003869359687009954,0.008123157685124616,0.007921227036030066,0.00511106291665289,0.00511106291665289,nan,1.0,0.08333333333333333,nan,nan,0.974449162776727,0.00016952339416216296,0,0.6102642793419819,0.028175854076093864,0.011578036140877367,0.016597817935216495
wide_current,full_light_geometry,full_light_geometry,8,980008,success,True,False,False,18,142.51885358897673,0.0047259647206171025,0.007847532803226809,0.005207628711766625,0.005115699403545096,0.0061689805844120475,nan,0.7222222222222222,0.2777777777777778,nan,nan,0.8166932823228796,0.0006147301402054582,1,0.6919594872079669,0.02615944523181031,0.011860605966375913,0.014298839265434397
wide_current,full_light_geometry,full_light_geometry,9,980009,success,True,False,False,23,152.16608810340446,0.002352680837895365,0.007837146347629553,0.004444651961218853,0.005493739984188763,0.006453291249520003,nan,0.7391304347826086,0.08695652173913043,nan,nan,0.8370036537648587,0.0007897932388380521,2,0.7158086597509641,0.025196353595529037,0.012272937477612423,0.012923416117916614
wide_current,full_light_geometry,full_light_geometry,10,980010,success,True,False,False,32,150.22256108033295,0.0012238436220861977,0.008373516961640903,0.0033878540273018834,0.004286142347014651,0.004286142347014651,nan,1.0,0.0625,nan,nan,1.044185737340967,1.9748763310199547e-05,2,0.9903457175517185,0.025888714310312595,0.012320304825294653,0.013568409485017943
