episode,step,reward,episode_return,terminated,truncated,success,collision,dist_xy,dist_z,shaped_distance,desired_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,fixture_height_offset,table_height_offset,hole_half_size,peg_radius,contact_friction_multiplier,contact_solref_time_multiplier,contact_solref_damping_multiplier,contact_solimp_width_multiplier,joint_damping_multiplier,actuator_kp_multiplier,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,commanded_action_x,commanded_action_y,commanded_action_z,applied_action_x,applied_action_y,applied_action_z,hole_center_offset_0,hole_center_offset_1
1,0,0.0,0.0,False,False,False,False,0.04241204647184515,0.07759923013299552,0.10587392778089232,0.7065493952957935,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5926979184150696,0.047985777258872986,0.7275992035865784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.253530264848846,1.253530264848846,False,False,False,False,0.04003832222262878,0.0773336715778905,0.10402588639297641,0.7033844296301717,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5907914638519287,0.04994278773665428,0.727333664894104,-0.004987273830920458,0.003423478454351425,-0.003900048788636923,-0.004987273830920458,0.003423478454351425,-0.003900048788636923,-0.0026535550132393837,0.0016513942973688245,-0.0019913366995751858,0.0,0.0
1,2,2.1294418174630607,3.3829720823119067,False,False,False,False,0.0346944290839669,0.07222118005389089,0.0953507994432021,0.6962592387786226,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5859827399253845,0.05275031179189682,0.7222211956977844,-0.004988148342818022,0.004051302559673786,-0.004232504405081272,-0.004988148342818022,0.004051302559673786,-0.004232504405081272,-0.0034726213198155165,0.002323005348443985,-0.003798488760367036,0.0,0.0
1,3,2.759828978067916,6.142801060379822,False,False,False,False,0.026633121228961016,0.06326747493664142,0.08102288908928204,0.6855108283052814,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5784565210342407,0.0562988705933094,0.71326744556427,-0.004968034103512764,0.003354819491505623,-0.004167916718870401,-0.004968034103512764,0.003354819491505623,-0.004167916718870401,-0.004999999888241291,0.002883243840187788,-0.004009816329926252,0.0,0.0
1,4,2.8324464200164883,8.97524748039631,False,False,False,False,0.016366648995373018,0.051537158717080866,0.06244825804732951,0.6718221986604974,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5685031414031982,0.06012311577796936,0.7015371322631836,-0.0049429223872721195,0.002185906283557415,-0.0046701435931026936,-0.0049429223872721195,0.002185906283557415,-0.0046701435931026936,-0.004999999888241291,0.0025052009150385857,-0.004641585983335972,0.0,0.0
1,5,2.452090324328322,11.427337804724633,False,False,False,False,0.006012428019159581,0.037917739573350984,0.04192602491945741,0.6580165706922128,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5574319958686829,0.0632353350520134,0.6879177689552307,-0.0048086619935929775,-0.002895493060350418,-0.00418559554964304,-0.0048086619935929775,-0.002895493060350418,-0.00418559554964304,-0.0038391181733459234,0.00028259793180041015,-0.004799184389412403,0.0,0.0
1,6,1.9277431728077068,13.35508097753234,False,False,False,False,0.006922424371525707,0.023171355622399026,0.02778630520341612,0.6592298991620343,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5465182065963745,0.06442543864250183,0.67317134141922,-0.00213655736297369,-0.0038022175431251526,-0.004629529081285,-0.00213655736297369,-0.0038022175431251526,-0.004629529081285,-0.0018536250572651625,-0.0019971393048763275,-0.00494910404086113,0.0,0.0
1,7,0.07355253365738708,13.428633511189728,False,False,False,False,0.014319153846560607,0.008424360233616479,0.039306152588252166,0.6690922051287475,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5382203459739685,0.06374882906675339,0.6584243774414062,0.004590088501572609,-0.004481797106564045,-0.0003408263437449932,0.004590088501572609,-0.004481797106564045,-0.0003408263437449932,0.0024170076940208673,-0.002582992659881711,-0.002318344311788678,0.0,0.0
1,8,1.355170633151985,14.783804144341714,False,False,False,False,0.0159805312218434,0.00460589356068053,0.0486625438454641,0.6713073749624578,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5363873243331909,0.06308146566152573,0.6546058654785156,0.004969681613147259,-0.0036357250064611435,0.004449671134352684,0.004969681613147259,-0.0036357250064611435,0.004449671134352684,0.003479217179119587,-0.002803229494020343,0.001980583183467388,0.0,0.0
1,9,2.462166101619465,17.24597024596118,False,False,False,False,0.015771320365123388,0.006313144182684249,0.04625792370106037,0.6710284271534979,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5365509390830994,0.06278415024280548,0.6563131213188171,0.004989090375602245,-0.0023609541822224855,0.004861820489168167,0.004989090375602245,-0.0023609541822224855,0.004861820489168167,0.004798446781933308,-0.0028509460389614105,0.00368419848382473,0.0,0.0
