metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,500.0,0.022339393969625233,0.0010431454344583381,0.020324816927313805,0.02088524764403701,0.0221016900613904,0.023930663242936134,0.02397136576473713
peg_radius,500.0,0.011975843897089363,0.00025995443258581587,0.011576895602047443,0.011576895602047443,0.011978575959801674,0.012339474633336067,0.01247389242053032
hole_clearance,500.0,0.010363550134003162,0.001125102046716899,0.008471350185573101,0.008753571193665266,0.010150834918022156,0.012032254599034786,0.012210140936076641
control_action_scale_multiplier,500.0,0.9543156646490097,0.07860781476771313,0.8204150199890137,0.8288894891738892,0.959423303604126,1.06459641456604,1.085281252861023
control_action_noise_std,500.0,0.00012284536490460597,6.284063142007958e-05,3.0609924124291865e-06,9.6848434623098e-06,0.00013459136243909597,0.00021718067000620067,0.00022740435088053346
control_action_delay,500.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
control_action_filter_alpha,500.0,0.627423470377922,0.04351114196285996,0.5573152303695679,0.5622549653053284,0.6265910267829895,0.6936646699905396,0.6960964202880859
fixture_height_offset,500.0,-5.398545441494207e-05,0.0006861608577528482,-0.0009391665225848556,-0.0009143366478383541,-2.0576509996317327e-05,0.0009450986981391907,0.0009450986981391907
table_height_offset,500.0,0.00011408709662646287,0.0005187329555115179,-0.0008933636709116399,-0.0006029798532836139,9.451223013456911e-05,0.0008330626878887415,0.0009238663478754461
contact_friction_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_time_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_damping_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solimp_width_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
joint_damping_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
actuator_kp_multiplier,500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
desired_z,500.0,0.6985335373878478,0.02203912281827618,0.6540878415107727,0.6706991732120514,0.6936423480510712,0.7307535409927368,0.7309419512748718
step_id,500.0,11.078,8.583933597133658,0.0,0.0,9.0,29.0,36.0
hole_center_offset_x,500.0,-9.000754851149395e-05,0.001080454736324565,-0.0018669869750738144,-0.0018669869750738144,-0.0004590943572111428,0.00169574620667845,0.0019241879926994443
hole_center_offset_y,500.0,-2.14332019968424e-05,0.0011700543358984146,-0.00157986581325531,-0.00157986581325531,-0.0003083776100538671,0.0018831571796908975,0.001917421817779541
hole_center_offset_norm,500.0,0.0015205756286159158,0.0004825143111622712,0.0004142724210396409,0.0007935600588098168,0.0015643584774807096,0.0022160254884511232,0.0022163463290780783
action_norm,500.0,1.1720725629329682,0.17403341201310238,0.7002480626106262,0.8533416360616685,1.2206555604934692,1.4142135381698608,1.4142135381698608
raw_action_norm,500.0,0.005860362657811493,0.0008701671196666663,0.003501240164041519,0.004266708064824343,0.006103277672082186,0.0070710680447518826,0.0070710680447518826
unique_episode_id_count,26.0,26.0,0.0,26.0,26.0,26.0,26.0,26.0
