episode,step,reward,episode_return,terminated,truncated,success,collision,dist_xy,dist_z,shaped_distance,desired_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,fixture_height_offset,table_height_offset,hole_half_size,peg_radius,contact_friction_multiplier,contact_solref_time_multiplier,contact_solref_damping_multiplier,contact_solimp_width_multiplier,joint_damping_multiplier,actuator_kp_multiplier,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,commanded_action_x,commanded_action_y,commanded_action_z,applied_action_x,applied_action_y,applied_action_z,hole_center_offset_0,hole_center_offset_1
1,0,0.0,0.0,False,False,False,False,0.04241204647184515,0.07759923013299552,0.10587392778089232,0.7065493952957935,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5926979184150696,0.047985777258872986,0.7275992035865784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.2018956506348446,1.2018956506348446,False,False,False,False,0.04001048368568052,0.07735060066111665,0.10402425645157036,0.7033473115809074,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5907377004623413,0.04985102266073227,0.7273505926132202,-0.0049323127605021,0.003020106814801693,-0.0037149526178836823,-0.0049323127605021,0.003020106814801693,-0.0037149526178836823,-0.0026223573368042707,0.0014224272454157472,-0.0018862700089812279,0.0,0.0
1,2,2.0919289725893977,3.2938246232242423,False,False,False,False,0.03464659413647713,0.07229311093101976,0.09539084035533783,0.6961954588486362,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5858636498451233,0.05244655907154083,0.7222931385040283,-0.004948927089571953,0.0038995184004306793,-0.0041694603860378265,-0.004948927089571953,0.0038995184004306793,-0.0041694603860378265,-0.00343823479488492,0.00214787176810205,-0.0037218742072582245,0.0,0.0
1,3,2.756920364286349,6.050744987510591,False,False,False,False,0.026576415086816477,0.06340543585369351,0.08112304591157118,0.6854352201157553,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5783043503761292,0.05573040619492531,0.713405430316925,-0.004891316406428814,0.0030219033360481262,-0.004225136246532202,-0.004891316406428814,0.0030219033360481262,-0.004225136246532202,-0.004999999888241291,0.0026262132450938225,-0.0040125236846506596,0.0,0.0
1,4,2.8135951090492206,8.864340096559811,False,False,False,False,0.01625474833874091,0.05175085274501123,0.06258735163750517,0.6716729977849879,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5683575868606567,0.05930658429861069,0.7017508745193481,-0.0048251524567604065,0.0022722361609339714,-0.004527311772108078,-0.0048251524567604065,0.0022722361609339714,-0.004527311772108078,-0.004978877026587725,0.0024543232284486294,-0.004561562091112137,0.0,0.0
1,5,2.3659555301075645,11.230295626667376,False,False,False,False,0.005838908280038068,0.03826228677466115,0.04215489229468647,0.6577852110400508,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5575904846191406,0.06247447058558464,0.6882622838020325,-0.00443277508020401,-0.00205726339481771,-0.00394564401358366,-0.00443277508020401,-0.00205726339481771,-0.00394564401358366,-0.0036175439599901438,0.0007386337965726852,-0.004631882533431053,0.0,0.0
1,6,2.065918440652091,13.296214067319466,False,False,False,False,0.00580683347264156,0.023698811060261726,0.027570033375356153,0.6577424446301887,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5477423071861267,0.06417785584926605,0.6736987829208374,-0.0003383047878742218,-0.0032426610123366117,-0.004388670437037945,-0.0003383047878742218,-0.0032426610123366117,-0.004388670437037945,-0.0007467743707820773,-0.0015023021260276437,-0.004747371654957533,0.0,0.0
1,7,0.7498140556071733,14.04602812292664,False,False,False,False,0.012026720265289637,0.009218304766274277,0.030870762784691187,0.6660356270203862,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5406899452209473,0.06406797468662262,0.6592183113098145,0.004817166365683079,-0.004395714029669762,0.0005133636295795441,0.004817166365683079,-0.004395714029669762,0.0005133636295795441,0.0029760238248854876,-0.00234183669090271,-0.0017550851916894317,0.0,0.0
1,8,1.5178330478778324,15.563861170804472,False,False,False,False,0.013397892981859998,0.005155491493447628,0.039504151779419,0.6678638573091467,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5391145944595337,0.06352724879980087,0.6551554799079895,0.0049533965066075325,-0.0035653032828122377,0.004155833274126053,0.0049533965066075325,-0.0035653032828122377,0.004155833274126053,0.003687205258756876,-0.0026695432607084513,0.002032672055065632,0.0,0.0
1,9,2.5478503284026046,18.111711499207075,False,False,False,False,0.013151560811999388,0.006556246433056523,0.0372822896069414,0.6675354144159992,0.9284111648554806,0.0007540357344092588,0,0.6114026433911062,0.0,0.0,0.045,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5521385669708252,0.06038418412208557,0.6499999761581421,0.5392976403236389,0.06322566419839859,0.656556248664856,0.00495718140155077,-0.0028501744382083416,0.004721225239336491,0.00495718140155077,-0.0028501744382083416,0.004721225239336491,0.004861157853156328,-0.003076693508774042,0.0036246334202587605,0.0,0.0
