hole_half_size,hole_side_length,peg_radius,peg_diameter,radial_clearance,episodes,success_rate,collision_rate,timeout_rate,mean_steps,mean_final_dist_xy,mean_final_dist_z
0.045,0.09,0.012,0.024,0.033,50,1.0,0.0,0.0,14.92,0.003874821745809937,0.007174509569408019
0.029,0.058,0.012,0.024,0.017,50,0.86,0.12,0.02,16.12,0.006766451355965589,0.013871066574817353
0.025,0.05,0.012,0.024,0.013000000000000001,50,0.8,0.2,0.0,11.04,0.007647882442559951,0.015259728275556337
0.02,0.04,0.012,0.024,0.008,50,0.72,0.28,0.0,15.58,0.009464510717490495,0.019241122659588782
0.017,0.034,0.012,0.024,0.005000000000000001,50,0.64,0.32,0.04,36.36,0.010081877813797973,0.0270413035414302
0.015,0.03,0.012,0.024,0.002999999999999999,50,0.5,0.48,0.02,44.94,0.012623870183903414,0.03505833976965846
