episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,hole_half_size,peg_radius,hole_clearance
90,820090,success,True,False,False,21,134.1397835036947,0.004531750096558134,0.007562432390629814,0.0022913948100078303,0.005193187366623775,aligned_<0.005,aligned_<0.005,0.0018282250301646335,0.005248869956035984,0.0036509577184915543,-0.001987163908779621,0.003544233739376068,0.8436005275427693,0.0001944305005118803,2,0.824558671123409,low_<0.90,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|low_<0.00025,0.028643667910502275,0.011565132950902234,0.01707853495960004
91,820091,success,True,False,False,18,146.43669429840983,0.002466468426134258,0.00785360287526815,0.002466468426134258,0.006301262385679407,aligned_<0.005,aligned_<0.005,0.0023208189264146816,0.0055622105273577405,0.004369121976196766,0.0016522519290447235,0.003807196393609047,1.0660644648480169,3.415095906168881e-05,1,0.8733204154548331,mid_0.90_1.10,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|mid_0.90_1.10|low_<0.00025,0.027251567752343994,0.011530348875103022,0.01572121887724097
92,820092,success,True,False,False,48,204.15536106223254,0.004683421803376975,0.00801183344283396,0.004683421803376975,0.006520766554872548,aligned_<0.005,aligned_<0.005,0.004486356153696154,0.005808959399397942,-0.0017702656332403421,0.00400934461504221,0.004338658414781094,0.9223789174792358,0.0004831773437687954,2,0.5833624069565295,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,0.02700378480236504,0.01203443533747933,0.014969349464885708
93,820093,collision,False,True,False,9,-290.9493149273712,0.03147666548688042,0.04958835120590488,0.009635194878875713,0.04958835120590488,far_>=0.030,near_0.005_0.015,0.0027576505154785183,0.006664330239083045,0.004980568774044514,-0.0017948024906218052,-0.0013462596107274294,1.1332224177037258,4.710649686365933e-05,2,0.6492577398189225,high_>1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|high_>1.10|low_<0.00025,0.025547784240966088,0.011608774739850159,0.013939009501115929
94,820094,success,True,False,False,13,137.87561931373793,0.0031212136845481797,0.007067260431025457,0.0016627273173330868,0.007067260431025457,aligned_<0.005,aligned_<0.005,0.0016388668177219538,0.006051651515262439,0.003024275414645672,0.001711440272629261,0.0003225449472665787,0.8929507302641383,9.728333237782083e-05,0,0.8891145312590983,low_<0.90,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|low_<0.90|low_<0.00025,0.02826279697446454,0.01197025806760923,0.01629253890685531
95,820095,success,True,False,False,20,159.2530507422099,0.0002652843263964485,0.007902103622598022,0.0002652843263964485,0.007902103622598022,aligned_<0.005,aligned_<0.005,0.00399861994665116,0.005851779733513987,-0.0025572609156370163,0.00409154687076807,0.0035864394158124924,0.9714797262168711,0.00045889440630334833,0,0.6819702264718193,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,0.026503711552109194,0.012381876081713282,0.014121835470395912
96,820096,collision,False,True,False,146,-114.53939039340196,0.021423269145398,0.07830865118623698,0.002300978430679364,0.007014179802108833,off_0.015_0.030,aligned_<0.005,-0.0009128267427089892,0.0053194694889036635,-0.0049506789073348045,0.004999999888241291,-0.004999740980565548,1.0459417612389956,0.0006863421584068205,1,0.9190137935717627,mid_0.90_1.10,high_>=0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|mid_0.90_1.10|high_>=0.00055,0.02845639077754193,0.012274838180806106,0.016181552596735826
97,820097,success,True,False,False,36,164.40933126336162,0.003914123434373197,0.008329324967534468,0.0007105786434674197,0.007953569506620073,aligned_<0.005,aligned_<0.005,0.003747866851174169,0.005721830634052573,-0.004559965338557959,-0.0019429062958806753,0.004757896065711975,1.0854528726183708,0.0006649326031432161,2,0.6804953560113356,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,0.025213218729040518,0.012325803458694235,0.012887415270346283
98,820098,success,True,False,False,17,132.11819515312226,0.0021777758149412432,0.007586776272843765,0.0021777758149412432,0.005741911925859933,aligned_<0.005,aligned_<0.005,0.0014799041810500272,0.004965320131954751,-0.004266669042408466,0.0009985482320189476,0.003910993225872517,1.0338109425725368,0.0005137802841857698,1,0.7127071994918777,mid_0.90_1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,0.02719735976708526,0.011603813426811514,0.015593546340273746
99,820099,success,True,False,False,16,145.28603889926714,0.002899802029662957,0.006474206969746099,0.002899802029662957,0.006474206969746099,aligned_<0.005,aligned_<0.005,0.003600767842726782,0.005933858610469896,-0.0015406555030494928,0.0033823074772953987,0.0038355961441993713,0.8335202394263266,0.00046428897619089666,1,0.6858522399945709,low_<0.90,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|mid_0.00025_0.00055,0.02682553296669743,0.011552313101289296,0.015273219865408133
100,820100,success,True,False,False,8,133.35057533480057,0.0038326959153583257,0.007614274767946072,0.0006156460583136011,0.007614274767946072,aligned_<0.005,aligned_<0.005,-0.00242041569435969,0.0052227085622270335,-0.0021685229148715734,0.0036039240658283234,0.000834005419164896,0.9936180234433754,0.00015046360429011758,0,0.7874537787056526,mid_0.90_1.10,low_<0.00025,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,0.027098357750722692,0.01214794336982623,0.014950414380896462
101,820101,collision,False,True,False,8,-298.45581722141196,0.022090842094290988,0.03447462717362526,0.001885879867846748,0.03447462717362526,off_0.015_0.030,aligned_<0.005,-0.0002335384488105774,0.006216454925499303,0.004958891309797764,0.004322877153754234,0.002197135705500841,1.0989713918366084,0.0006629434278959979,2,0.6940750971842603,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,0.027344931269381603,0.011584677762489176,0.015760253506892426
102,820102,collision,False,True,False,12,-289.31158493909464,0.02215442370157136,0.029390085800790278,0.008752887215369258,0.029390085800790278,off_0.015_0.030,near_0.005_0.015,0.001784181649175783,0.0058400119919241695,0.004898518323898315,-0.004230936989188194,-0.000385332852602005,0.8889605502287312,0.0007384773163269521,1,0.6050581443651454,low_<0.90,high_>=0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|high_>=0.00055,0.027936344449143995,0.012262364497450988,0.015673979951693007
103,820103,collision,False,True,False,10,-290.18552556267144,0.02132916472491606,0.04723587427065279,0.007542645403021194,0.046765767353071475,off_0.015_0.030,near_0.005_0.015,0.0028127889148890973,0.005810852888948327,0.0049842651933431625,-0.002298833103850484,0.002199611160904169,1.0599991516158132,0.00041696028309226926,2,0.8073899123528565,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,0.026546180161431805,0.011873796940783483,0.014672383220648321
104,820104,success,True,False,False,45,194.79837244042773,0.004879631880650779,0.008140188992610153,0.0030477807542622537,0.006095539089286728,aligned_<0.005,aligned_<0.005,0.003648525755852461,0.005126095153313906,0.004804904572665691,-0.0007114927284419537,0.0028708232566714287,0.8349963104737981,0.00035164290821062584,2,0.9975128413933436,low_<0.90,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|low_<0.90|mid_0.00025_0.00055,0.026418571746645653,0.012328018361146907,0.014090553385498746
105,820105,success,True,False,False,21,155.00436663617572,0.004534029693238618,0.007686774445634814,0.004534029693238618,0.006668766783494373,aligned_<0.005,aligned_<0.005,0.004277515247286786,0.0055998080575314375,0.003507913090288639,0.003581525757908821,0.004895859397947788,0.9443653219763808,6.152194994189841e-05,1,0.8391798942567958,mid_0.90_1.10,low_<0.00025,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,0.02504781293165804,0.01162297257860705,0.013424840353050992
106,820106,success,True,False,False,18,150.50389776073845,0.004604392784026366,0.007510537171676046,0.0012967097917265858,0.00698518427102901,aligned_<0.005,aligned_<0.005,0.002854837596209513,0.0055287846049768725,0.0049032531678676605,0.00405544601380825,0.004739856347441673,0.9600089367094422,0.0007092222267696475,0,0.6226841350336456,mid_0.90_1.10,high_>=0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|high_>=0.00055,0.026577304864544626,0.011563161689523043,0.015014143175021583
