name,rows,coverage,success_row_rate,timeout_row_rate,collision_row_rate,mean_abs_error_deg,max_abs_error_deg,bad_error_rate,high_error_rate,sign_mismatch_rate,mean_true_abs_deg,mean_pred_abs_deg,mean_xy,mean_z,down_action_rate,up_action_rate
scoped_all,301,1.0,0.0,1.0,0.0,8.229935016263873,47.28617697744642,0.06976744186046512,0.0033222591362126247,0.03986710963455149,63.80789406459412,60.16213012353342,0.0529930966266869,0.07771593946159085,0.0,0.9235880398671097
visible,230,0.7641196013289037,0.0,1.0,0.0,8.634163217787306,47.28617697744642,0.06521739130434782,0.004347826086956522,0.0,33.859896844811274,27.971874669159273,0.03494935746411458,0.07197113892306452,0.0,0.9130434782608695
visible_delta_stable,221,0.7342192691029901,0.0,1.0,0.0,8.316039110426509,29.56852237052243,0.049773755656108594,0.0,0.0,31.79748537075469,25.29546488998175,0.03258589305457738,0.07177905421451206,0.0,0.9230769230769231
yaw_reapply_mid_high,8,0.026578073089700997,0.0,1.0,0.0,9.100375199266932,24.766065395548708,0.25,0.0,0.0,64.54180129177051,73.31253298940085,0.1126742148457409,0.0787746012210846,0.0,1.0
yaw_reapply_high_only,21,0.06976744186046512,0.0,1.0,0.0,5.861950974294021,29.56852237052243,0.14285714285714285,0.0,0.0,90.04995438408034,92.3643326563922,0.10455051477633975,0.08612281935555595,0.0,0.6666666666666666
descent_small_yaw_xy30,147,0.4883720930232558,0.0,1.0,0.0,9.58006150299755,17.003075738372786,0.047619047619047616,0.0,0.0,11.415890806968848,1.891823804625372,0.011220211180667503,0.07116456623791026,0.0,1.0
descent_small_yaw_xy16,132,0.43853820598006643,0.0,1.0,0.0,9.890960377974384,17.003075738372786,0.05303030303030303,0.0,0.0,11.69063238124545,1.8620295153631068,0.010175581176913874,0.07148963890292427,0.0,1.0
descent_tiny_yaw_xy16,76,0.25249169435215946,0.0,1.0,0.0,10.859582642132086,17.003075738372786,0.09210526315789473,0.0,0.0,11.852671354447756,1.1013938648965917,0.009110251410417275,0.07080832908028051,0.0,1.0
descent_tiny_yaw_xy8,39,0.12956810631229235,0.0,1.0,0.0,11.2200740131168,17.003075738372786,0.10256410256410256,0.0,0.0,12.196049636585226,1.0516094222326218,0.006011223969495179,0.06732390782771966,0.0,1.0
descent_tiny_yaw_xy8_mid_z,39,0.12956810631229235,0.0,1.0,0.0,11.2200740131168,17.003075738372786,0.10256410256410256,0.0,0.0,12.196049636585226,1.0516094222326218,0.006011223969495179,0.06732390782771966,0.0,1.0
hold_recenter_only,146,0.4850498338870432,0.0,1.0,0.0,6.822865735346926,47.28617697744642,0.0821917808219178,0.00684931506849315,0.0821917808219178,116.51853256496057,118.11097810950976,0.09178189946786788,0.08425417624107778,0.0,0.8424657534246576
aligned_descent,74,0.24584717607973422,0.0,1.0,0.0,10.79426070567528,17.003075738372786,0.06756756756756757,0.0,0.0,12.255730660608943,1.5574911886943377,0.008907006314334177,0.07274887046298466,0.0,1.0
reacquire_descent,73,0.2425249169435216,0.0,1.0,0.0,8.349229434529729,15.29578333098408,0.0273972602739726,0.0,0.0,10.564546297799437,2.2307363194047762,0.013565103784895819,0.06955855921523212,0.0,1.0
raw_norm_gate,65,0.2159468438538206,0.0,1.0,0.0,4.90030688491746,18.554919733206873,0.03076923076923077,0.0,0.18461538461538463,168.76309098559915,170.59130783248077,0.11233181718508577,0.09921264189940232,0.0,0.9538461538461539
visual_yaw_applied,44,0.1461794019933555,0.0,1.0,0.0,8.353565997627427,47.28617697744642,0.11363636363636363,0.022727272727272728,0.0,34.75285440168898,32.71331304785543,0.05741535363685967,0.05946370417421514,0.0,0.9318181818181818
reacquire_relaxed_yaw,39,0.12956810631229235,0.0,1.0,0.0,5.385425519354726,29.56852237052243,0.07692307692307693,0.0,0.0,117.4490956925091,120.92428975695036,0.09904373367093355,0.08912224952991192,0.0,0.5641025641025641
low_visibility_brake,6,0.019933554817275746,0.0,1.0,0.0,28.805492047451796,44.23562127253865,0.6666666666666666,0.0,0.0,74.7998208453811,97.80583069427875,0.10183362514263777,0.06505235036214192,0.0,1.0
