episode,step,control_period_sec,reward,episode_return,terminated,truncated,success,collision,dist_xy,dist_z,shaped_distance,desired_z,guard_enabled,guard_active,action_limited,workspace_limited,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,guarded_action_x,guarded_action_y,guarded_action_z,final_action_x,final_action_y,final_action_z,raw_action_x,raw_action_y,raw_action_z,limited_action_x,limited_action_y,limited_action_z,filtered_action_x,filtered_action_y,filtered_action_z,safe_action_x,safe_action_y,safe_action_z,env_commanded_action_x,env_commanded_action_y,env_commanded_action_z,env_applied_action_x,env_applied_action_y,env_applied_action_z,safe_target_before_clip_x,safe_target_before_clip_y,safe_target_before_clip_z,safe_target_after_clip_x,safe_target_after_clip_y,safe_target_after_clip_z
1,0,0.02,0.0,0.0,False,False,False,False,0.047062934091094695,0.07759923013299552,0.09652663804919383,0.73,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5926979184150696,0.047985777258872986,0.7275992035865784,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5926979184150696,0.047985777258872986,0.7275992035865784,0.5926979184150696,0.047985777258872986,0.7275992035865784
1,1,0.02,2.078428383017998,2.078428383017998,False,False,False,False,0.0447715150026183,0.07697492558055308,0.09256810442468348,0.73,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5879198312759399,0.04742526635527611,0.7269749045372009,-0.00485614687204361,-0.004993817303329706,-0.0029996270313858986,nan,nan,nan,-0.00485614687204361,-0.004993817303329706,-0.0029996270313858986,-0.00485614687204361,-0.004993817303329706,-0.0029996270313858986,-0.00485614687204361,-0.004993817303329706,-0.0029996270313858986,-0.00485614687204361,-0.004993817303329706,-0.0029996270313858986,-0.00485614687204361,-0.004993817303329706,-0.0029996270313858986,-0.00485614687204361,-0.004993817303329706,-0.0029996270313858986,-0.004999999888241291,-0.004245290532708168,-0.002088183304294944,0.587841771543026,0.04299195995554328,0.7245995765551925,0.587841771543026,0.04299195995554328,0.7245995765551925
1,2,0.02,1.830858958891196,3.9092873419091942,False,False,False,False,0.038718584548156715,0.07185593610627439,0.085581232990039,0.73,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5778316259384155,0.04356395825743675,0.7218559384346008,-0.0048608360812067986,-0.004982781130820513,-0.0027832675259560347,nan,nan,nan,-0.0048608360812067986,-0.004982781130820513,-0.0027832675259560347,-0.0048608360812067986,-0.004982781130820513,-0.0027832675259560347,-0.0048608360812067986,-0.004982781130820513,-0.0027832675259560347,-0.0048608360812067986,-0.004982781130820513,-0.0027832675259560347,-0.0048608360812067986,-0.004982781130820513,-0.0027832675259560347,-0.0048608360812067986,-0.004982781130820513,-0.0027832675259560347,-0.003952521365135908,-0.004723743535578251,-0.0017378210322931409,0.5830589951947331,0.042442485224455595,0.7241916370112449,0.5830589951947331,0.042442485224455595,0.7241916370112449
1,3,0.02,0.6504963247050115,4.559783666614206,False,False,False,False,0.03402312382648915,0.06410908246330715,0.0839371651896711,0.73,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5684144496917725,0.03878598287701607,0.7141090631484985,-0.003269354347139597,-0.0049972934648394585,-0.003837039927020669,nan,nan,nan,-0.003269354347139597,-0.0049972934648394585,-0.003837039927020669,-0.003269354347139597,-0.0049972934648394585,-0.003837039927020669,-0.003269354347139597,-0.0049972934648394585,-0.003837039927020669,-0.003269354347139597,-0.0049972934648394585,-0.003837039927020669,-0.003269354347139597,-0.0049972934648394585,-0.003837039927020669,-0.003269354347139597,-0.0049972934648394585,-0.003837039927020669,-0.0026500585954636335,-0.004356594290584326,-0.003705000039190054,0.5745622715912759,0.038566664792597294,0.7180188985075802,0.5745622715912759,0.038566664792597294,0.7180188985075802
1,4,0.02,0.5412298834908325,5.101013550105039,False,False,False,False,0.030504767272309975,0.05433538810103122,0.08667414644358869,0.73,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5640222430229187,0.0341777540743351,0.7043353915214539,0.0041487738490104675,-0.004997131880372763,-0.004380646161735058,nan,nan,nan,0.0041487738490104675,-0.004997131880372763,-0.004380646161735058,0.0041487738490104675,-0.004997131880372763,-0.004380646161735058,0.0041487738490104675,-0.004997131880372763,-0.004380646161735058,0.0041487738490104675,-0.004997131880372763,-0.004380646161735058,0.0041487738490104675,-0.004997131880372763,-0.004380646161735058,0.0041487738490104675,-0.004997131880372763,-0.004380646161735058,0.004234149120748043,-0.004999999888241291,-0.004152172245085239,0.5725632235407829,0.033788850996643305,0.7097284169867635,0.5725632235407829,0.033788850996643305,0.7097284169867635
1,5,0.02,-0.18552106507887742,4.915492485026162,False,False,False,False,0.025692654079669048,0.043012737589293915,0.08837257057004413,0.73,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5644806027412415,0.029250314459204674,0.6930127143859863,0.004848283715546131,-0.004997238516807556,-0.004445474594831467,nan,nan,nan,0.004848283715546131,-0.004997238516807556,-0.004445474594831467,0.004848283715546131,-0.004997238516807556,-0.004445474594831467,0.004848283715546131,-0.004997238516807556,-0.004445474594831467,0.004848283715546131,-0.004997238516807556,-0.004445474594831467,0.004848283715546131,-0.004997238516807556,-0.004445474594831467,0.004848283715546131,-0.004997238516807556,-0.004445474594831467,0.004100511781871319,-0.004999999888241291,-0.004122490528970957,0.5688705267384648,0.029180515557527542,0.6998899169266224,0.5688705267384648,0.029180515557527542,0.6998899169266224
1,6,0.02,-0.5781551251116959,4.337337359914466,False,False,False,False,0.019921106133611265,0.03049126556020232,0.08903537124146524,0.729684424534445,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5660590529441833,0.02367768995463848,0.6804912686347961,0.0049345530569553375,-0.004991678986698389,-0.003604940138757229,nan,nan,nan,0.0049345530569553375,-0.004991678986698389,-0.003604940138757229,0.0049345530569553375,-0.004991678986698389,-0.003604940138757229,0.0049345530569553375,-0.004991678986698389,-0.003604940138757229,0.0049345530569553375,-0.004991678986698389,-0.003604940138757229,0.0049345530569553375,-0.004991678986698389,-0.003604940138757229,0.0049345530569553375,-0.004991678986698389,-0.003604940138757229,0.004676151555031538,-0.004138843156397343,-0.003257559845224023,0.5694151557981968,0.024258635472506285,0.6894077742472291,0.5694151557981968,0.024258635472506285,0.6894077742472291
1,7,0.02,0.4849715455078386,4.822308905422305,False,False,False,False,0.013496221441052437,0.0175168297238234,0.06346049892249125,0.7039848857642098,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5681723952293396,0.017603684216737747,0.667516827583313,0.004813471809029579,-0.004991075489670038,-0.0034091495908796787,nan,nan,nan,0.004813471809029579,-0.004991075489670038,-0.0034091495908796787,0.004813471809029579,-0.004991075489670038,-0.0034091495908796787,0.004813471809029579,-0.004991075489670038,-0.0034091495908796787,0.004813471809029579,-0.004991075489670038,-0.0034091495908796787,0.004813471809029579,-0.004991075489670038,-0.0034091495908796787,0.004813471809029579,-0.004991075489670038,-0.0034091495908796787,0.004999999888241291,-0.004726917017251253,-0.002018008381128311,0.5708725247532129,0.018686614464968443,0.6770821190439165,0.5708725247532129,0.018686614464968443,0.6770821190439165
1,8,0.02,0.7783835244282039,5.6006924298505085,False,False,False,False,0.006981951138507257,0.005608799930128305,0.0362829069009152,0.677927804554029,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5697423219680786,0.011129756458103657,0.6556087732315063,0.004808999598026276,-0.00497009139508009,-0.0003745444118976593,nan,nan,nan,0.004808999598026276,-0.00497009139508009,-0.0003745444118976593,0.004808999598026276,-0.00497009139508009,-0.0003745444118976593,0.004808999598026276,-0.00497009139508009,-0.0003745444118976593,0.004808999598026276,-0.00497009139508009,-0.0003745444118976593,0.004808999598026276,-0.00497009139508009,-0.0003745444118976593,0.004808999598026276,-0.00497009139508009,-0.0003745444118976593,0.004555276595056057,-0.004999999888241291,-0.0012322468683123589,0.5729813948273659,0.012633592821657658,0.6671422831714153,0.5729813948273659,0.012633592821657658,0.6671422831714153
1,9,0.02,1.0961135337273362,6.6968059635778445,False,False,False,False,0.005417865831133744,0.005289781597640819,0.027217413389161626,0.671671463324535,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5702796578407288,0.009621242061257362,0.6552897691726685,0.002580855041742325,-0.0044627063907682896,0.0004255855455994606,nan,nan,nan,0.002580855041742325,-0.0044627063907682896,0.0004255855455994606,0.002580855041742325,-0.0044627063907682896,0.0004255855455994606,0.002580855041742325,-0.0044627063907682896,0.0004255855455994606,0.002580855041742325,-0.0044627063907682896,0.0004255855455994606,0.002580855041742325,-0.0044627063907682896,0.0004255855455994606,0.002580855041742325,-0.0044627063907682896,0.0004255855455994606,0.003542375983670354,-0.004208819009363651,0.0007763102184981108,0.5723231770098209,0.006667050067335367,0.6560343587771058,0.5723231770098209,0.006667050067335367,0.6560343587771058
1,10,0.02,121.54294395684003,128.23974992041786,True,False,True,False,0.0049842086077077335,0.00673564677198879,0.023169604874257618,0.669936834430831,False,False,False,False,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,0.5732848644256592,0.0051132612861692905,0.6499999761581421,0.5704936981201172,0.0092426473274827,0.6567356586456299,0.004352690652012825,-0.0034187487326562405,0.0030122799798846245,nan,nan,nan,0.004352690652012825,-0.0034187487326562405,0.0030122799798846245,0.004352690652012825,-0.0034187487326562405,0.0030122799798846245,0.004352690652012825,-0.0034187487326562405,0.0030122799798846245,0.004352690652012825,-0.0034187487326562405,0.0030122799798846245,0.004352690652012825,-0.0034187487326562405,0.0030122799798846245,0.004352690652012825,-0.0034187487326562405,0.0030122799798846245,0.004161145072430372,-0.003562121419236064,0.0020695689599961042,0.5746323484927416,0.006202493328601122,0.6583020491525531,0.5746323484927416,0.006202493328601122,0.6583020491525531
