run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
visible_brake,908517,17,success,success,283,0.002463,0.009495,0.000283,0.009495,1.843,1.843,0.060,0,0,118,48,57,0,0,0.002659,0.010998,1.843,-3.806,nan,square_fast_settle,aligned_descent_latch,inactive_phase:153;applied:66;aligned_descent_latch:27,0,0,10,52,48,128,9,1,4,6,0,0,0,170.019,176.410,38.561,1.586,1.965,2.366
visible_brake,908518,18,success,success,340,0.001097,0.007751,0.000090,0.000135,9.936,9.936,0.023,0,0,153,109,110,0,0,0.000974,0.007301,9.936,-1.384,nan,square_fast_settle,applied,inactive_phase:167;applied:102;aligned_descent_latch:29,0,0,20,52,109,154,8,0,0,5,0,0,0,174.249,178.893,29.314,1.998,11.721,13.719
visible_brake,908519,19,success,success,273,0.001388,0.009128,0.000128,0.009128,4.019,4.019,0.036,0,0,120,30,55,0,0,0.001430,0.010685,4.019,-1.875,nan,square_fast_settle,aligned_descent,inactive_phase:151;applied:69;aligned_descent_latch:31,0,0,2,51,30,122,11,0,0,8,0,0,0,171.024,176.243,27.083,1.737,2.029,3.767
visible_brake,910500,0,timeout,timeout_wrong_yaw_basin,1000,0.170893,0.057778,0.013535,0.050399,177.219,177.219,0.396,0,0,66,99,0,2,0,0.172748,0.057625,-177.219,112.531,nan,recover_recenter,xy_gate,xy_gate:550;inactive_phase:295;applied:66,0,33,0,0,99,66,149,46,8,51,0,0,0,179.998,179.953,57.669,156.329,153.781,9.017
visible_brake,910501,1,success,success,278,0.002863,0.009155,0.000360,0.009155,0.716,0.716,0.054,0,0,126,30,60,0,0,0.002923,0.010625,-0.716,-1.614,nan,square_fast_settle,aligned_descent,inactive_phase:152;applied:80;aligned_descent:43,0,0,0,46,30,126,9,0,0,6,0,0,0,171.008,176.392,28.491,1.697,0.226,1.635
visible_brake,910502,2,success,success,242,0.000531,0.008772,0.000059,0.008772,0.325,0.325,0.073,0,0,130,43,65,0,0,0.000656,0.010164,-0.325,-1.496,nan,square_fast_settle,aligned_descent_latch,inactive_phase:111;applied:76;aligned_descent:29,0,0,1,54,43,131,8,0,0,5,0,0,0,176.357,172.546,22.974,1.746,0.285,1.578
visible_brake,910503,3,success,success,298,0.001904,0.009314,0.000133,0.009314,0.638,0.638,0.056,0,0,141,67,71,0,0,0.001918,0.010665,-0.638,-0.251,nan,square_fast_settle,aligned_descent,inactive_phase:151;applied:95;aligned_descent:44,0,0,6,50,67,147,8,0,0,5,0,0,0,178.978,174.961,25.560,1.566,3.290,4.834
visible_brake,910504,4,success,success,269,0.002253,0.009554,0.000539,0.009554,4.246,4.246,0.032,0,0,153,64,69,0,0,0.002231,0.010810,4.246,-1.539,nan,square_fast_settle,aligned_descent,inactive_phase:116;applied:98;aligned_descent:36,0,0,0,55,64,153,8,0,0,5,0,0,0,175.010,178.026,21.156,1.836,5.788,7.624
visible_brake,910505,5,success,success,928,0.001809,0.009359,0.000169,0.009359,1.308,1.308,0.042,0,0,114,49,59,0,0,0.002004,0.010989,1.308,0.330,nan,square_fast_settle,aligned_descent,inactive_phase:806;applied:75;aligned_descent:25,0,0,8,47,49,122,9,0,0,6,0,0,0,174.268,178.889,22.565,1.754,2.232,3.960
visible_brake,910506,6,success,success,259,0.002266,0.009269,0.000149,0.009269,0.631,0.631,0.043,0,0,153,48,63,0,0,0.002198,0.010593,-0.631,-2.359,nan,square_fast_settle,aligned_descent_latch,inactive_phase:106;applied:92;aligned_descent:59,0,0,0,61,48,153,8,0,0,5,0,0,0,175.434,175.327,28.475,1.564,2.266,3.620
