scenario,level,control_mode,image_ablation,image_ablation_target,control_state_ablation,episode,seed,outcome,success,collision,timeout,steps,episode_return,guard_steps,guard_step_fraction,retry_steps,latch_steps,hover_steps,near_limited_steps,fixture_clearance_steps,fixture_clearance_realign_steps,fixture_clearance_triggers,preinsert_recenter_steps,preinsert_recenter_triggers,preinsert_recenter_releases,preinsert_recenter_blocked_steps,approach_recenter_steps,approach_recenter_triggers,approach_recenter_releases,approach_recenter_blocked_steps,approach_adapter_steps,approach_adapter_step_fraction,final_insert_adapter_steps,final_insert_adapter_step_fraction,final_insert_adapter_lift_pulse_steps,final_insert_macro_recovery_steps,final_insert_macro_recovery_triggers,visual_yaw_align_steps,visual_yaw_align_step_fraction,visual_yaw_align_blocked_steps,early_approach_assist_steps,early_approach_assist_triggers,early_approach_assist_releases,early_approach_assist_blocked_steps,stateful_recovery_steps,stateful_recovery_triggers,stateful_recovery_releases,stateful_recovery_exhausted_steps,final_servo_steps,final_servo_triggers,final_servo_rearms,final_servo_recovery_triggers,final_servo_descent_steps,final_servo_exhausted_steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,near_xy_steps,low_z_steps,low_z_misaligned_steps,insert_band_steps,insert_band_misaligned_steps,joint_damping_multiplier,actuator_kp_multiplier,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,geometry_profile,geometry_name,peg_shape,hole_shape,hole_half_size,peg_radius,hole_clearance,success_shape_yaw_required,success_shape_yaw_ok,success_shape_yaw_error_deg,success_shape_yaw_tolerance_deg,shape_yaw_clearance,final_peg_tilt_angle_deg,final_shape_yaw_error_deg,final_square_peg_yaw_error_deg,final_square_peg_topdown_clearance_margin,final_square_peg_tilted_clearance_margin
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,0,907500,success,True,False,False,127,240.41839118762508,127,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0.2440944881889764,0,0.0,0,0,0,0,0.0,0,24,1,0,0,0,0,0,0,77,1,0,0,57,0,0.0013747372697245788,0.009321940631969228,0.0003564181497704902,0.009321940631969228,90,27,0,10,0,1.0,3.0,0.8423871804371871,0.0005480373660753349,3,0.44288209017658925,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,1.030627517287494,55.46819112945934,nan,nan,nan
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,1,907501,success,True,False,False,233,415.4174105902135,233,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0.44635193133047213,0,0.0,0,0,0,0,0.0,0,51,1,0,0,0,0,0,0,108,1,0,0,88,0,0.0015768998222802704,0.009557492555916536,0.0008642566549191545,0.009557492555916536,107,35,0,12,0,1.0,3.0,0.8123710178522515,0.000544561303875965,3,0.4225370515244502,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,2.6160495593611035,55.79879674188743,nan,nan,nan
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,2,907502,success,True,False,False,144,272.7878637052983,144,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.3055555555555556,0,0.0,0,0,0,0,0.0,0,25,1,0,0,0,0,0,0,79,1,0,0,59,0,0.002247175771085667,0.009639650603986416,0.0003809666792444788,0.009639650603986416,93,27,0,10,0,1.0,3.0,0.9348867679628504,0.0004924642016740249,4,0.3784397064772042,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,1.6418664501768963,55.99391699585718,nan,nan,nan
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,3,907503,success,True,False,False,153,321.81131848595214,153,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0.27450980392156865,0,0.0,0,0,0,0,0.0,0,18,1,0,0,0,0,0,0,86,1,0,0,66,0,0.00186755737537072,0.009032391271926898,6.115831413667372e-05,0.009032391271926898,99,30,0,11,0,1.0,3.0,0.8484939482472161,0.0004553846458592802,3,0.3620227527538946,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,2.022060139731635,55.98790834817572,nan,nan,nan
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,4,907504,success,True,False,False,169,261.56282879026924,169,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0.3727810650887574,0,0.0,0,0,0,0,0.0,0,43,1,0,0,0,0,0,0,87,1,0,0,67,0,0.0023871884550724786,0.009801778093582625,0.0004351959774735655,0.009801778093582625,100,30,0,11,0,1.0,3.0,0.6613795020794283,0.00025794807788014377,4,0.4087791931879244,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,1.1709827858062012,55.7643466246879,nan,nan,nan
