scenario,level,control_mode,image_ablation,image_ablation_target,control_state_ablation,episode,seed,outcome,success,collision,timeout,steps,episode_return,guard_steps,guard_step_fraction,retry_steps,latch_steps,hover_steps,near_limited_steps,fixture_clearance_steps,fixture_clearance_realign_steps,fixture_clearance_triggers,preinsert_recenter_steps,preinsert_recenter_triggers,preinsert_recenter_releases,preinsert_recenter_blocked_steps,approach_recenter_steps,approach_recenter_triggers,approach_recenter_releases,approach_recenter_blocked_steps,approach_adapter_steps,approach_adapter_step_fraction,final_insert_adapter_steps,final_insert_adapter_step_fraction,final_insert_adapter_lift_pulse_steps,final_insert_macro_recovery_steps,final_insert_macro_recovery_triggers,visual_yaw_align_steps,visual_yaw_align_step_fraction,visual_yaw_align_blocked_steps,early_approach_assist_steps,early_approach_assist_triggers,early_approach_assist_releases,early_approach_assist_blocked_steps,stateful_recovery_steps,stateful_recovery_triggers,stateful_recovery_releases,stateful_recovery_exhausted_steps,final_servo_steps,final_servo_triggers,final_servo_rearms,final_servo_recovery_triggers,final_servo_descent_steps,final_servo_exhausted_steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,near_xy_steps,low_z_steps,low_z_misaligned_steps,insert_band_steps,insert_band_misaligned_steps,joint_damping_multiplier,actuator_kp_multiplier,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,geometry_profile,geometry_name,peg_shape,hole_shape,hole_half_size,peg_radius,hole_clearance,success_shape_yaw_required,success_shape_yaw_ok,success_shape_yaw_error_deg,success_shape_yaw_tolerance_deg,shape_yaw_clearance,final_peg_tilt_angle_deg,final_shape_yaw_error_deg,final_square_peg_yaw_error_deg,final_square_peg_topdown_clearance_margin,final_square_peg_tilted_clearance_margin
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,0,908500,success,True,False,False,145,260.49506731193696,145,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.3103448275862069,0,0.0,0,0,0,0,0.0,0,24,1,0,0,0,0,0,0,80,1,0,0,60,0,0.0015133684315355197,0.009025151437540235,0.0002515454675520775,0.009025151437540235,93,28,0,10,0,1.0,3.0,0.7923340070241269,0.0006337930835877563,3,0.39164811328346083,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,1.1071126493290817,55.09540887359756,nan,nan,nan
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,1,908501,success,True,False,False,201,282.1933118883237,201,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0.417910447761194,0,0.0,0,0,0,0,0.0,0,56,1,0,0,0,0,0,0,93,1,0,0,73,0,0.0018512017085358862,0.009110354810585974,0.0007044751893955847,0.009110354810585974,106,32,0,11,0,1.0,3.0,0.6640825853850009,0.0006282730285758858,4,0.5275504475553536,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,1.604652702809075,55.70670913815633,nan,nan,nan
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,2,908502,success,True,False,False,159,312.7538615032436,159,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0.3584905660377358,0,0.0,0,0,0,0,0.0,0,38,1,0,0,0,0,0,0,81,1,0,0,61,0,0.0009839025011703594,0.0096447284827611,0.0006528746600371986,0.0096447284827611,95,28,0,10,0,1.0,3.0,0.928660741697459,0.0006966542750507013,3,0.4425566665094988,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,1.4211409951345395,55.77215808343462,nan,nan,nan
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,3,908503,success,True,False,False,284,551.0221663742776,284,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0.6126760563380281,0,0.0,0,0,0,0,0.0,0,73,1,0,0,0,0,0,0,114,1,0,0,94,0,0.0009247738034442003,0.009304361749568835,0.0005853107318762057,0.009304361749568835,105,35,0,13,0,1.0,3.0,0.8547910030284609,0.0004452548238712791,4,0.490941446890447,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,3.0820444363025956,55.68880094605859,nan,nan,nan
hard_full_light_bucket,full_light_geometry,guarded,normal,all,normal,4,908504,success,True,False,False,259,501.8983458895161,259,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0.4671814671814672,0,0.0,0,0,0,0,0.0,0,68,1,0,0,0,0,0,0,95,1,0,0,75,0,0.0010705800636027205,0.00933768229157339,0.00040817046376783643,0.00933768229157339,109,33,0,11,0,1.0,3.0,0.84715418917682,0.0005719612128592655,4,0.42825250699829887,triangle_triangle,triangle_triangle,triangle,triangle,0.006750000000000002,0.012,-0.005249999999999999,False,True,nan,nan,0.0007499999999999998,2.625476514465727,55.64378087099348,nan,nan,nan
