candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_min_policy_steps,guard_block_down_when_unaligned,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
no_guard,full_light_geometry,full_light_geometry,30,0.6666666666666666,0.3,0.03333333333333333,15.244747020727033,27.4,0.0,0.0,0.0,False,0.00989257310587737,0.018639815830673246,none,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.6,0.4,0.0,-19.530345338748337,40.766666666666666,39.7,0.973834832379395,1.0,True,0.01157731466314514,0.028099502016997405,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy040_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.5,0.5,0.0,-43.40175346666139,54.96666666666667,52.3,0.9514857489387507,1.0,True,0.012983766164752239,0.0360949544999195,geometry,0.04,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.5,0.5,0.0,-50.559772430560066,49.46666666666667,47.733333333333334,0.9649595687331536,1.0,True,0.012899688083295708,0.03508571485688018,geometry,0.05,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy070_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.5333333333333333,0.4666666666666667,0.0,-40.62962867683776,46.666666666666664,46.233333333333334,0.9907142857142858,1.0,True,0.012717658527697144,0.03245369648690384,geometry,0.07,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z060_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.6,0.4,0.0,-10.644120786831541,47.8,42.6,0.891213389121339,1.0,True,0.011181761917075816,0.030901785348403703,geometry,0.06,0.06,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.6,0.4,0.0,-19.53060646340066,40.766666666666666,39.7,0.973834832379395,1.0,True,0.011578169037211372,0.028099458814526426,geometry,0.06,0.08,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,full_light_geometry,full_light_geometry,30,0.5666666666666667,0.43333333333333335,0.0,-17.35166194927633,50.56666666666667,49.5,0.9789057350032959,1.0,True,0.011576199548039434,0.032932794321871774,geometry,0.06,0.1,0.0,0.75,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend050_down0035_align025,full_light_geometry,full_light_geometry,30,0.6,0.4,0.0,2.69889046557865,53.53333333333333,52.46666666666667,0.9800747198007472,1.0,True,0.011243011933550144,0.029540971031602227,geometry,0.06,0.1,0.0,0.5,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0025_align025,full_light_geometry,full_light_geometry,30,0.6,0.36666666666666664,0.03333333333333333,0.6475135691918974,47.4,46.333333333333336,0.9774964838255978,1.0,True,0.01142709168699459,0.031507346065155456,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
