episode,step,reward,episode_return,terminated,truncated,guard_enabled,guard_active,guard_should_activate,guard_can_activate,guard_activated,guard_down_blocked,guard_steps_since_reset,guard_min_policy_steps,guard_dist_xy,guard_z_above_target,success,collision,dist_xy,dist_z,shaped_distance,desired_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,fixture_height_offset,table_height_offset,hole_half_size,peg_radius,contact_friction_multiplier,contact_solref_time_multiplier,contact_solref_damping_multiplier,contact_solimp_width_multiplier,joint_damping_multiplier,actuator_kp_multiplier,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,guarded_action_x,guarded_action_y,guarded_action_z,final_action_x,final_action_y,final_action_z,commanded_action_x,commanded_action_y,commanded_action_z,applied_action_x,applied_action_y,applied_action_z,hole_center_offset_0,hole_center_offset_1
1,0,0.0,0.0,False,False,True,False,False,False,False,False,-1,0,nan,nan,False,False,0.06695153768038227,0.07869741697738009,0.15520565838338443,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.5101125240325928,-0.037946730852127075,0.7286974191665649,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.015327783370857,2.015327783370857,False,False,True,False,False,True,False,False,0,0,0.06695153768038227,0.07869744300842285,False,False,0.06659150882250896,0.0784012607358695,0.1547817569091484,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.5101847648620605,-0.03758222609758377,0.728401243686676,0.003648284822702408,0.004390857182443142,0.0018026852048933506,nan,nan,nan,0.003648284822702408,0.004390857182443142,0.0018026852048933506,0.003648284822702408,0.004390857182443142,0.0018026852048933506,0.003648284822702408,0.004390857182443142,0.0018026852048933506,0.0,0.0
1,2,1.8021395349614742,3.8174673183323313,False,False,True,False,False,True,False,False,1,0,0.06659150882250896,0.07840126752853394,False,False,0.06618027361387685,0.07805642958557468,0.154304117642179,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.510259747505188,-0.03716207668185234,0.7280564308166504,0.0034749582409858704,0.004038437269628048,0.001268948893994093,nan,nan,nan,0.0034749582409858704,0.004038437269628048,0.001268948893994093,0.0034749582409858704,0.004038437269628048,0.001268948893994093,0.0034749582409858704,0.004038437269628048,0.001268948893994093,0.0,0.0
1,3,1.8263144558989752,5.643781774231306,False,False,True,False,False,True,False,False,2,0,0.06618027361387685,0.0780564546585083,False,False,0.06576851749373995,0.07768468033044618,0.1538523546570337,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.5103425979614258,-0.03674491122364998,0.7276846766471863,0.0036085210740566254,0.004113724455237389,0.0010861740447580814,nan,nan,nan,0.0036085210740566254,0.004113724455237389,0.0010861740447580814,0.0036085210740566254,0.004113724455237389,0.0010861740447580814,0.0036085210740566254,0.004113724455237389,0.0010861740447580814,0.0,0.0
1,4,1.7949133383624714,7.438695112593778,False,False,True,False,False,True,False,False,3,0,0.06576851749373995,0.07768470048904419,False,False,0.06536188297918795,0.07730854402186749,0.1534152219365084,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.510440468788147,-0.03634052723646164,0.7273085713386536,0.0037962011992931366,0.003931264393031597,0.0010886001400649548,nan,nan,nan,0.0037962011992931366,0.003931264393031597,0.0010886001400649548,0.0037962011992931366,0.003931264393031597,0.0010886001400649548,0.0037962011992931366,0.003931264393031597,0.0010886001400649548,0.0,0.0
1,5,2.100785755910307,9.539480868504086,False,False,True,False,False,True,False,False,4,0,0.06536188297918795,0.07730859518051147,False,False,0.06493265713297056,0.07701520478572388,0.1528501094802172,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.5105312466621399,-0.03590746968984604,0.7270151972770691,0.003688509576022625,0.004398364573717117,0.0023056496866047382,nan,nan,nan,0.003688509576022625,0.004398364573717117,0.0023056496866047382,0.003688509576022625,0.004398364573717117,0.0023056496866047382,0.003688509576022625,0.004398364573717117,0.0023056496866047382,0.0,0.0
1,6,1.9439857644916627,11.483466632995748,False,False,True,False,False,True,False,False,5,0,0.06493265713297056,0.077015221118927,False,False,0.06450761975439673,0.07671014608383764,0.1523050934249558,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.5106164216995239,-0.03547611087560654,0.7267101407051086,0.0036067841574549675,0.004210932180285454,0.001698764506727457,nan,nan,nan,0.0036067841574549675,0.004210932180285454,0.001698764506727457,0.0036067841574549675,0.004210932180285454,0.001698764506727457,0.0036067841574549675,0.004210932180285454,0.001698764506727457,0.0,0.0
1,7,1.9990722968737733,13.482538929869522,False,False,True,False,False,True,False,False,6,0,0.06450761975439673,0.07671016454696655,False,False,0.06409001236968632,0.07641804914400319,0.15176197559536944,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.5107145309448242,-0.035059139132499695,0.7264180779457092,0.003824724815785885,0.004094450734555721,0.002112510148435831,nan,nan,nan,0.003824724815785885,0.004094450734555721,0.002112510148435831,0.003824724815785885,0.004094450734555721,0.002112510148435831,0.003824724815785885,0.004094450734555721,0.002112510148435831,0.0,0.0
1,8,2.136671554451951,15.619210484321473,False,False,True,False,False,True,False,False,7,0,0.06409001236968632,0.07641810178756714,False,False,0.0636605264000045,0.07616820553053227,0.1511528472694767,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.5107974410057068,-0.03462131321430206,0.7261682152748108,0.0035751545801758766,0.00441327691078186,0.002597290091216564,nan,nan,nan,0.0035751545801758766,0.00441327691078186,0.002597290091216564,0.0035751545801758766,0.00441327691078186,0.002597290091216564,0.0035751545801758766,0.00441327691078186,0.002597290091216564,0.0,0.0
1,9,1.9900055266287178,17.609216010950192,False,False,True,False,False,True,False,False,8,0,0.0636605264000045,0.0761682391166687,False,False,0.06323961471562924,0.07589260836070733,0.15058662107055112,0.75,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5389459133148193,0.02247796393930912,0.6499999761581421,0.5108783841133118,-0.034191813319921494,0.7258926033973694,0.0035920431837439537,0.004192500375211239,0.0020502866245806217,nan,nan,nan,0.0035920431837439537,0.004192500375211239,0.0020502866245806217,0.0035920431837439537,0.004192500375211239,0.0020502866245806217,0.0035920431837439537,0.004192500375211239,0.0020502866245806217,0.0,0.0
