trace,seed,geometry_profile,geometry_name,outcome,steps,final_servo_steps,contact_steps,contact_frac,wall_contact_steps,wall_contact_frac,plate_contact_steps,plate_contact_frac,first_contact_step,first_wall_contact_step,insert_band_steps,insert_band_contact_steps,insert_band_contact_frac,low_z_steps,low_z_stall_steps,low_z_stall_frac,final_contact_walls,final_contact_pairs,pair_step_counts,min_contact_dist_mm,final_window_mean_contact_dist_mm,min_xy_mm,final_xy_mm,min_z_mm,final_z_mm,final_z_above_target_mm,max_tilt_deg,final_tilt_deg,final_yaw_error_deg,final_tilted_margin_mm,final_servo_phase_counts
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_single_seed612010_steps.csv,612010,single,single,timeout,1000,523,496,0.496,496,0.496,0,0.0,491,491,529,496,0.9376181474480151,483,442,0.9151138716356108,"east,west",peg_geom:hole_east;peg_geom:hole_west,peg_geom:hole_east:492;peg_geom:hole_north:8;peg_geom:hole_west:425,-0.5266414538543651,-0.5083088710414796,4.4116333212356,7.345404689235931,9.342102319657265,9.424372265732783,9.424388408660889,20.36210368431682,20.313768931866377,nan,nan,align_hover:55;descend:36;low_recenter:431;stable_confirm:1
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_single_seed612032_steps.csv,612032,single,single,timeout,1000,510,473,0.473,473,0.473,354,0.354,505,505,512,473,0.923828125,458,419,0.9148471615720524,"north,east",peg_geom:hole_plate;peg_geom:hole_north;peg_geom:hole_north;peg_geom:hole_east,peg_geom:hole_east:454;peg_geom:hole_north:795;peg_geom:hole_plate:354,-0.27837473594196327,-0.21793630582633947,5.7781920434592715,7.791985444742074,7.464324993227689,7.469920357246473,7.46995210647583,18.31108305828044,18.306080471650407,nan,nan,align_hover:62;descend:26;low_recenter:421;stable_confirm:1
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_round_square_seed612010_steps.csv,612010,round_square,round_square,timeout,1000,523,496,0.496,496,0.496,0,0.0,491,491,529,496,0.9376181474480151,483,442,0.9151138716356108,"east,west",peg_geom:hole_east;peg_geom:hole_west,peg_geom:hole_east:492;peg_geom:hole_north:8;peg_geom:hole_west:425,-0.5266414545481296,-0.5083088712729475,4.41163363990116,7.345404697308391,9.342102305172407,9.424372263022063,9.424388408660889,20.362103598399823,20.313768930769054,nan,nan,align_hover:55;descend:36;low_recenter:431;stable_confirm:1
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_round_square_seed612032_steps.csv,612032,round_square,round_square,timeout,1000,510,473,0.473,473,0.473,354,0.354,505,505,512,473,0.923828125,458,419,0.9148471615720524,"north,east",peg_geom:hole_plate;peg_geom:hole_north;peg_geom:hole_north;peg_geom:hole_east,peg_geom:hole_east:454;peg_geom:hole_north:795;peg_geom:hole_plate:354,-0.27837349024392377,-0.2179363058262924,5.7781940712628215,7.791985444742186,7.464324993244231,7.469920357246362,7.46995210647583,18.311083058268775,18.306080471650407,nan,nan,align_hover:62;descend:26;low_recenter:421;stable_confirm:1
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_square_square_seed612010_steps.csv,612010,square_square,square_square,timeout,1000,488,440,0.44,440,0.44,0,0.0,510,510,528,440,0.8333333333333334,212,116,0.5471698113207547,"north,east",peg_geom:hole_north;peg_geom:hole_east,peg_geom:hole_east:437;peg_geom:hole_north:651,-0.46056279178566056,-0.2168649244281329,4.229864896120292,6.616954325142256,10.210610755887362,13.318362374238447,13.318419456481934,20.173592894659954,19.60828404272974,3.8565409750329422,-11.570556951431255,align_hover:116;contact_unjam_lift:327;contact_unjam_recenter:24;descend:18;stable_confirm:3
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_square_square_seed612021_steps.csv,612021,square_square,square_square,timeout,1000,385,557,0.557,557,0.557,0,0.0,390,390,654,557,0.8516819571865444,388,273,0.7036082474226805,east,peg_geom:hole_east,peg_geom:hole_east:506;peg_geom:hole_north:455,-0.40188828247773795,-0.2737401987157696,3.132453564598676,5.993816585079702,6.183252062726963,7.30412625455179,7.304131984710693,18.65747249888398,18.405269627705035,4.578351202720938,-10.423782783802253,align_hover:109;contact_unjam_lift:241;contact_unjam_recenter:14;descend:18;stable_confirm:3
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_square_square_seed612032_steps.csv,612032,square_square,square_square,timeout,1000,510,438,0.438,438,0.438,0,0.0,511,511,512,438,0.85546875,100,76,0.76,none,,peg_geom:hole_east:241;peg_geom:hole_north:821,-0.4041501265000104,-0.310304322055993,5.348461045777417,6.498202124463869,17.059780286342697,41.762192911170004,41.76217317581177,17.52264476699159,15.196786501317373,2.2064220426245242,-8.192570088413543,align_hover:250;contact_unjam_lift:213;contact_unjam_recenter:40;descend:6;stable_confirm:1
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_mixed_basic_seed612010_steps.csv,612010,mixed_basic,square_square,timeout,1000,426,350,0.35,350,0.35,0,0.0,609,609,428,350,0.8177570093457944,139,90,0.6474820143884892,none,,peg_geom:hole_east:347;peg_geom:hole_north:610,-0.5279391047988222,-0.362295719048879,4.035734707960615,7.655985107516518,16.77191992572191,37.38962611985397,37.38963603973389,19.228581709103487,16.922055148236968,4.230406696415429,-8.231021120827583,align_hover:76;contact_unjam_lift:311;contact_unjam_recenter:25;descend:12;stable_confirm:2
results\ur5e_full\multi_geometry\split_servo_diag_v6_bias35_failure_contact\eval_mixed_basic_seed612032_steps.csv,612032,mixed_basic,square_square,timeout,1000,468,447,0.447,447,0.447,0,0.0,553,553,470,447,0.951063829787234,0,0,nan,north,peg_geom:hole_north;peg_geom:hole_north,peg_geom:hole_east:121;peg_geom:hole_north:894,-0.34310362862413496,-0.21735769964515433,6.756808936495324,6.762078483217454,40.67363922222966,40.83367519142289,40.83371162414551,15.173650519229406,15.170245777955113,2.068605700090359,-9.413211119157776,align_hover:468
