episode,step,reward,episode_return,terminated,truncated,guard_enabled,guard_active,success,collision,dist_xy,dist_z,shaped_distance,desired_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,fixture_height_offset,table_height_offset,hole_half_size,peg_radius,contact_friction_multiplier,contact_solref_time_multiplier,contact_solref_damping_multiplier,contact_solimp_width_multiplier,joint_damping_multiplier,actuator_kp_multiplier,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,guarded_action_x,guarded_action_y,guarded_action_z,final_action_x,final_action_y,final_action_z,commanded_action_x,commanded_action_y,commanded_action_z,applied_action_x,applied_action_y,applied_action_z,hole_center_offset_0,hole_center_offset_1
1,0,0.0,0.0,False,False,True,False,False,False,0.048873309422911314,0.07752437427310832,0.10022224457271427,0.7300748558598872,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5926979184150696,0.047985777258872986,0.7275992035865784,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015017810510471463,-0.0012995287543162704
1,1,1.6275726509389148,1.6275726509389148,False,False,True,True,False,False,0.047197921128626086,0.07789416404304517,0.09650167821420697,0.7300748558598872,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.589289128780365,0.04764501377940178,0.7279689908027649,-0.004940554033964872,-0.004920027684420347,0.004096155986189842,-0.002139700809493661,-0.0045190355740487576,0.0024756360799074173,-0.002139700809493661,-0.0045190355740487576,0.0024756360799074173,-0.002139700809493661,-0.0045190355740487576,0.0024756360799074173,-0.0019533655140548944,-0.003876965958625078,0.0016696782549843192,-0.0015017810510471463,-0.0012995287543162704
1,2,2.0707068429989026,3.698279493937817,False,False,True,True,False,False,0.041463066802084204,0.07509817515694506,0.08782795844722331,0.7300748558598872,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5819295644760132,0.04401614889502525,0.7251730561256409,-0.004844865761697292,-0.004934783559292555,0.004123135469853878,-0.0018137414008378983,-0.004659435711801052,0.0004361705214250833,-0.0018137414008378983,-0.004659435711801052,0.0004361705214250833,-0.0018137414008378983,-0.004659435711801052,0.0004361705214250833,-0.0021435455419123173,-0.0047781034372746944,0.0007734097889624536,-0.0015017810510471463,-0.0012995287543162704
1,3,2.1820092396190143,5.8802887335568315,False,False,True,True,False,False,0.03490887064481308,0.07112013703802855,0.07869760425159757,0.7300748558598872,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5738053321838379,0.03866397961974144,0.7211949825286865,-0.0033272900618612766,-0.0049584838561713696,0.004018489271402359,-0.0011018171207979321,-0.004877089057117701,0.004128373693674803,-0.0011018171207979321,-0.004877089057117701,0.004128373693674803,-0.0011018171207979321,-0.004877089057117701,0.004128373693674803,-0.0015952122630551457,-0.004477033857256174,0.004065012559294701,-0.0015017810510471463,-0.0012995287543162704
1,4,2.3932943755914793,8.27358310914831,False,False,True,True,False,False,0.029221262848443504,0.06771130274819093,0.07073122294869605,0.7300748558598872,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5671834945678711,0.03267072141170502,0.7177861332893372,0.003904959186911583,-0.004979267250746489,0.004383806139230728,-7.029416156001389e-05,-0.0049995058216154575,0.004814844578504562,-7.029416156001389e-05,-0.0049995058216154575,0.004814844578504562,-7.029416156001389e-05,-0.0049995058216154575,0.004814844578504562,0.0009945001220330596,-0.004313682671636343,0.004898873157799244,-0.0015017810510471463,-0.0012995287543162704
1,5,2.456387238240212,10.729970347388523,False,False,True,True,False,False,0.02444908640894282,0.06500099401912296,0.06389717879876264,0.7300748558598872,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5621297359466553,0.026276379823684692,0.7150758504867554,0.0047142961993813515,-0.00499624852091074,0.004137308336794376,0.0007266337051987648,-0.0049469186924397945,0.004999999888241291,0.0007266337051987648,-0.0049469186924397945,0.004999999888241291,0.0007266337051987648,-0.0049469186924397945,0.004999999888241291,-3.088056109845638e-05,-0.004528373014181852,0.004999999888241291,-0.0015017810510471463,-0.0012995287543162704
1,6,0.3986316123611977,11.128601959749721,False,False,True,True,False,False,0.020351291904991138,0.06074714593348096,0.059955437876501275,0.7300748558598872,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5592736601829529,0.019866466522216797,0.7108219861984253,0.004950135014951229,-0.004996913485229015,0.0030711283907294273,0.002375687938183546,-0.0043995575979352,-0.0035000001080334187,0.002375687938183546,-0.0043995575979352,-0.0035000001080334187,0.002375687938183546,-0.0043995575979352,-0.0035000001080334187,0.0016614324413239956,-0.004999999888241291,-0.003603195771574974,-0.0015017810510471463,-0.0012995287543162704
1,7,0.96701442078851,12.095616380538232,False,False,True,True,False,False,0.015775202968830986,0.05303083972838896,0.04162037808459692,0.7131756677352111,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5600025057792664,0.014305402524769306,0.7031056880950928,0.004979444667696953,-0.004995450377464294,0.0007787030190229416,0.00350232538767159,-0.0035684334579855204,-0.0035000001080334187,0.00350232538767159,-0.0035684334579855204,-0.0035000001080334187,0.00350232538767159,-0.0035684334579855204,-0.0035000001080334187,0.0030178239103406668,-0.003855470335111022,-0.0043127997778356075,-0.0015017810510471463,-0.0012995287543162704
1,8,2.0189686753952247,14.114585055933457,False,False,True,True,False,False,0.011115666315310772,0.04275059214900789,0.023943405742856746,0.6945375211211303,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.562204122543335,0.009453005157411098,0.692825436592102,0.004968512803316116,-0.004880715161561966,-0.0018012921791523695,0.003985950257629156,-0.0030186420772224665,-0.0035000001080334187,0.003985950257629156,-0.0030186420772224665,-0.0035000001080334187,0.003985950257629156,-0.0030186420772224665,-0.0035000001080334187,0.003872571513056755,-0.0033326116390526295,-0.004298544488847256,-0.0015017810510471463,-0.0012995287543162704
1,9,2.5818405654585947,16.696425621392052,False,False,True,True,False,False,0.006460724805052696,0.030722612479872513,0.017801162869767136,0.675917755080098,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5655147433280945,0.00537871802225709,0.6807974576950073,0.004865371622145176,-0.0025223768316209316,-0.004143931437283754,0.004635598510503769,-0.0018738271901383996,-0.0035000001080334187,0.004635598510503769,-0.0018738271901383996,-0.0035000001080334187,0.004635598510503769,-0.0018738271901383996,-0.0035000001080334187,0.004807610064744949,-0.0019274498336017132,-0.003605735022574663,-0.0015017810510471463,-0.0012995287543162704
1,10,0.5099515285870657,17.20637714997912,False,False,True,True,False,False,0.004300654942850734,0.017241881795328373,0.008640571909626926,0.6672774756312901,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.5676288604736328,0.0027011139318346977,0.667316734790802,0.004728151485323906,0.00018127821385860443,-0.003322202479466796,0.0014607124030590057,0.00036246422678232193,-0.0035000001080334187,0.0014607124030590057,0.00036246422678232193,-0.0035000001080334187,0.0014607124030590057,0.00036246422678232193,-0.0035000001080334187,0.000719075498636812,0.0005907221348024905,-0.004645110573619604,-0.0015017810510471463,-0.0012995287543162704
1,11,118.82101339484534,136.02739054482447,True,False,True,True,True,False,0.0038573581715840386,0.004629630373820026,0.01851451865568417,0.6655042885462233,0.9541405568137911,0.0006328526955808763,0,0.9837156102399706,7.485585988724862e-05,-3.634477090628738e-05,0.028420834203034047,0.01248504341870542,1.0,1.0,1.0,1.0,1.0,1.0,0.5717830657958984,0.0038137324154376984,0.65007483959198,0.568522572517395,0.0017525615403428674,0.6547045111656189,0.0025625131092965603,0.003766404464840889,0.0011566705070436,0.003435129765421152,0.0005218963488005102,-0.0035000001080334187,0.003435129765421152,0.0005218963488005102,-0.0035000001080334187,0.003435129765421152,0.0005218963488005102,-0.0035000001080334187,0.0038479557260870934,0.0008755713934078813,-0.003803732106462121,-0.0015017810510471463,-0.0012995287543162704
