metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,1836.0,0.019118931743038376,0.0011686907294355814,0.0170003529638052,0.017203545197844505,0.019185852259397507,0.020864035934209824,0.020976725965738297
peg_radius,1836.0,0.011966834040074599,0.0002876042297774262,0.011500874534249306,0.011537175625562668,0.011955879628658295,0.012425789143890142,0.012497791089117527
hole_clearance,1836.0,0.007152097695862189,0.0012148574982223308,0.004706873558461666,0.005171382799744606,0.007185851223766804,0.008968407288193703,0.00940612517297268
control_action_scale_multiplier,1836.0,1.002557324720364,0.09794174201314321,0.8004486560821533,0.832249641418457,1.0153507590293884,1.1725858449935913,1.1980230808258057
control_action_noise_std,1836.0,0.00024979044168910305,0.00021136210260895753,1.2381869964883663e-06,1.3762464732280932e-05,0.0001741613377816975,0.0006916815764270723,0.0007978450157679617
control_action_delay,1836.0,1.5196078431372548,0.7627971822195607,0.0,0.0,2.0,2.0,2.0
control_action_filter_alpha,1836.0,0.6906354710102601,0.11495232301628992,0.5503444075584412,0.5586165189743042,0.6618531346321106,0.9351529479026794,0.9984936118125916
fixture_height_offset,1836.0,-2.4367597675108714e-05,0.0005952866512879078,-0.000995565322227776,-0.0009032331872731447,-5.8608089602785185e-05,0.000886682712007314,0.0009996440494433045
table_height_offset,1836.0,-2.1495240563410914e-05,0.0005583987112753523,-0.000999128445982933,-0.0009057811112143099,-2.19308421947062e-05,0.0008749659318709746,0.0009977647569030523
desired_z,1836.0,0.7028488300269985,0.02564278266238412,0.6702037453651428,0.6735710650682449,0.687062680721283,0.7308351993560791,0.7309996485710144
step_id,1836.0,130.2995642701525,71.29569298765595,17.0,29.0,192.0,199.0,199.0
steps_to_end,1836.0,3.928649237472767,2.270591211546103,1.0,1.0,4.0,8.0,8.0
dist_xy,1836.0,0.014978189659984641,0.008413729853077596,0.005063220392912626,0.005858390941284597,0.009186162613332272,0.026789754629135132,0.029962904751300812
dist_z,1836.0,0.028468013539948867,0.022309926612844033,0.007134225685149431,0.007246556342579424,0.008097951300442219,0.055073920637369156,0.058309156447649
z_above_target,1836.0,0.02846801563415652,0.022309925017408066,0.00713425874710083,0.00724656879901886,0.008097946643829346,0.05507391691207886,0.058309197425842285
policy_norm,1836.0,0.004203400488232449,0.00107828943075915,0.0007456828025169671,0.002411341934930533,0.004158704075962305,0.005932917702011764,0.007133007049560547
oracle_norm,1836.0,0.006816874258727452,0.0005853283535483069,0.0050000473856925964,0.005191629170440137,0.007071067579090595,0.0070710680447518826,0.0070710680447518826
correction_norm,1836.0,0.008093930042068797,0.001610067467943679,0.00600037956610322,0.006128339562565088,0.0076904145535081625,0.010844554053619504,0.012181437574326992
correction_xy_norm,1836.0,0.003807503878987932,0.0023960826847014716,5.121235517435707e-05,0.0005151714576641098,0.004259514855220914,0.007370056118816137,0.0098310811445117
action_cosine,1836.0,-0.12977496450089734,0.5285164189677245,-0.997521698474884,-0.9179631620645523,-0.0807824432849884,0.5210516303777695,0.5834596753120422
near_hole_rate,1836.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
failure_window_rate,1836.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
opposed_actions_rate,1836.0,0.5217864923747276,0.4995251232420707,0.0,0.0,1.0,1.0,1.0
policy_down_or_oracle_up_rate,1836.0,0.9509803921568627,0.21590897593671804,0.0,1.0,1.0,1.0,1.0
policy_down_oracle_less_down_rate,1836.0,0.9896514161220044,0.10120025044294967,0.0,1.0,1.0,1.0,1.0
episode_success_rate,1836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_collision_rate,1836.0,0.46677559912854033,0.49889491798046265,0.0,0.0,0.0,1.0,1.0
episode_timeout_rate,1836.0,0.5332244008714597,0.49889491798046265,0.0,0.0,1.0,1.0,1.0
hole_center_offset_x,1836.0,0.00016667803973446286,0.001139201353556347,-0.0019889851100742817,-0.001613297121366486,0.00028348658815957606,0.0018159816099796444,0.001990986755117774
hole_center_offset_y,1836.0,-5.866814347156401e-05,0.0011329515111529373,-0.0019824099726974964,-0.0017988987965509295,-7.864779399824329e-05,0.0018158830935135484,0.001998146530240774
hole_center_offset_norm,1836.0,0.0015084164011649887,0.000580742914681674,2.2677102606394328e-05,0.00040677847573533654,0.0015563264023512602,0.0023383188527077436,0.0028089580591768026
action_norm,1836.0,1.3633748538353865,0.11706567292961109,1.000009536743164,1.0383258163928986,1.4142135381698608,1.4142135381698608,1.4142135381698608
raw_action_norm,1836.0,0.0068168743581496875,0.0005853284005578846,0.0050000473856925964,0.005191628821194172,0.007071067579090595,0.0070710680447518826,0.0070710680447518826
policy_action_norm,1836.0,0.8406800973129688,0.21565788461229754,0.14913657307624817,0.4822683781385422,0.8317408263683319,1.1865835785865784,1.4266014099121094
policy_raw_action_norm,1836.0,0.004203400487566675,0.001078289426483662,0.000745682860724628,0.002411341934930533,0.004158704075962305,0.005932917702011764,0.00713300658389926
correction_raw_action_norm,1836.0,0.008093930043590566,0.001610067463000888,0.00600037956610322,0.006128339562565088,0.007690414087846875,0.010844554053619504,0.012181437574326992
